model,version,table,field,type,length,precision,scale,default
i2b2,1.7.0,i2b2,c_basecode,string,50,,,
i2b2,1.7.0,i2b2,c_columndatatype,string,50,,,
i2b2,1.7.0,i2b2,c_columnname,string,50,,,
i2b2,1.7.0,i2b2,c_comment,string,256,,,
i2b2,1.7.0,i2b2,c_dimcode,string,700,,,
i2b2,1.7.0,i2b2,c_facttablecolumn,string,950,,,
i2b2,1.7.0,i2b2,c_fullname,string,700,,,
i2b2,1.7.0,i2b2,c_hlevel,number,,22,5,
i2b2,1.7.0,i2b2,c_metadataxml,string,256,,,
i2b2,1.7.0,i2b2,c_name,string,700,,,
i2b2,1.7.0,i2b2,c_operator,string,10,,,
i2b2,1.7.0,i2b2,c_path,string,700,,,
i2b2,1.7.0,i2b2,c_symbol,string,50,,,
i2b2,1.7.0,i2b2,c_synonym_cd,string,1,,,
i2b2,1.7.0,i2b2,c_tablename,string,50,,,
i2b2,1.7.0,i2b2,c_tooltip,string,900,,,
i2b2,1.7.0,i2b2,c_totalnum,number,,22,5,
i2b2,1.7.0,i2b2,c_visualattributes,string,3,,,
i2b2,1.7.0,i2b2,download_date,datetime,,,,
i2b2,1.7.0,i2b2,import_date,datetime,,,,
i2b2,1.7.0,i2b2,m_applied_path,string,700,,,
i2b2,1.7.0,i2b2,m_exclusion_cd,string,25,,,
i2b2,1.7.0,i2b2,sourcesystem_cd,string,50,,,
i2b2,1.7.0,i2b2,update_date,datetime,,,,
i2b2,1.7.0,i2b2,valuetype_cd,string,50,,,
