model,version,table,field,required,ref_table,ref_field,description
i2b2,1.7.0,patient_dimension,age_in_years_num,No,,,
i2b2,1.7.0,patient_dimension,birth_date,No,,,
i2b2,1.7.0,patient_dimension,death_date,No,,,
i2b2,1.7.0,patient_dimension,download_date,No,,,
i2b2,1.7.0,patient_dimension,ethnicity_cd,No,,,
i2b2,1.7.0,patient_dimension,import_date,No,,,
i2b2,1.7.0,patient_dimension,income_cd,No,,,
i2b2,1.7.0,patient_dimension,language_cd,No,,,
i2b2,1.7.0,patient_dimension,marital_status_cd,No,,,
i2b2,1.7.0,patient_dimension,patient_blob,No,,,
i2b2,1.7.0,patient_dimension,patient_num,Yes,,,
i2b2,1.7.0,patient_dimension,race_cd,No,,,
i2b2,1.7.0,patient_dimension,religion_cd,No,,,
i2b2,1.7.0,patient_dimension,sex_cd,No,,,
i2b2,1.7.0,patient_dimension,sourcesystem_cd,No,,,
i2b2,1.7.0,patient_dimension,statecityzip_path,No,,,
i2b2,1.7.0,patient_dimension,update_date,No,,,
i2b2,1.7.0,patient_dimension,upload_id,No,,,
i2b2,1.7.0,patient_dimension,vital_status_cd,No,,,
i2b2,1.7.0,patient_dimension,zip_cd,No,,,
