model,version,type,name,table,field
i2b2_pedsnet,v2,not null,,observation_fact,encounter_num
i2b2_pedsnet,v2,not null,,observation_fact,patient_num
i2b2_pedsnet,v2,not null,,observation_fact,concept_cd
i2b2_pedsnet,v2,not null,,observation_fact,provider_id
i2b2_pedsnet,v2,not null,,observation_fact,start_date
i2b2_pedsnet,v2,not null,,observation_fact,modifier_cd
i2b2_pedsnet,v2,not null,,observation_fact,instance_num
i2b2_pedsnet,v2,not null,,patient_dimension,patient_num
i2b2_pedsnet,v2,not null,,provider_dimension,provider_id
i2b2_pedsnet,v2,not null,,provider_dimension,provider_path
i2b2_pedsnet,v2,not null,,visit_dimension,encounter_num
i2b2_pedsnet,v2,not null,,visit_dimension,patient_num
