model,version,name,unique,table,field,order
i2b2_pedsnet,v2,ix_observation_fact_concept_cd,No,observation_fact,concept_cd,asc
i2b2_pedsnet,v2,ix_observation_fact_concept_cd_instance_num_patient_num_f90e,No,observation_fact,concept_cd,asc
i2b2_pedsnet,v2,ix_observation_fact_concept_cd_instance_num_patient_num_f90e,No,observation_fact,instance_num,asc
i2b2_pedsnet,v2,ix_observation_fact_concept_cd_instance_num_patient_num_f90e,No,observation_fact,patient_num,asc
i2b2_pedsnet,v2,ix_observation_fact_concept_cd_instance_num_patient_num_f90e,No,observation_fact,encounter_num,asc
i2b2_pedsnet,v2,ix_observation_fact_encounter_num,No,observation_fact,encounter_num,asc
i2b2_pedsnet,v2,ix_observation_fact_patient_num_concept_cd_modifier_cd__b1cd,No,observation_fact,patient_num,asc
i2b2_pedsnet,v2,ix_observation_fact_patient_num_concept_cd_modifier_cd__b1cd,No,observation_fact,concept_cd,asc
i2b2_pedsnet,v2,ix_observation_fact_patient_num_concept_cd_modifier_cd__b1cd,No,observation_fact,modifier_cd,asc
i2b2_pedsnet,v2,ix_observation_fact_patient_num_concept_cd_modifier_cd__b1cd,No,observation_fact,start_date,asc
i2b2_pedsnet,v2,ix_observation_fact_patient_num_concept_cd_modifier_cd__b1cd,No,observation_fact,encounter_num,asc
i2b2_pedsnet,v2,ix_observation_fact_patient_num_concept_cd_modifier_cd__b1cd,No,observation_fact,instance_num,asc
i2b2_pedsnet,v2,ix_observation_fact_patient_num_concept_cd_modifier_cd__b1cd,No,observation_fact,provider_id,asc
i2b2_pedsnet,v2,ix_observation_fact_patient_num_concept_cd_start_date_e_e830,No,observation_fact,patient_num,asc
i2b2_pedsnet,v2,ix_observation_fact_patient_num_concept_cd_start_date_e_e830,No,observation_fact,concept_cd,asc
i2b2_pedsnet,v2,ix_observation_fact_patient_num_concept_cd_start_date_e_e830,No,observation_fact,start_date,asc
i2b2_pedsnet,v2,ix_observation_fact_patient_num_concept_cd_start_date_e_e830,No,observation_fact,end_date,asc
i2b2_pedsnet,v2,ix_observation_fact_patient_num_concept_cd_start_date_e_e830,No,observation_fact,encounter_num,asc
i2b2_pedsnet,v2,ix_observation_fact_patient_num_concept_cd_start_date_e_e830,No,observation_fact,instance_num,asc
i2b2_pedsnet,v2,ix_observation_fact_patient_num_concept_cd_start_date_e_e830,No,observation_fact,provider_id,asc
i2b2_pedsnet,v2,ix_observation_fact_patient_num_concept_cd_start_date_e_e830,No,observation_fact,nval_num,asc
i2b2_pedsnet,v2,ix_observation_fact_patient_num_concept_cd_start_date_e_e830,No,observation_fact,valtype_cd,asc
i2b2_pedsnet,v2,ix_observation_fact_patient_num_start_date_concept_cd_e_8e58,No,observation_fact,patient_num,asc
