model,version,table,field,type,length,precision,scale,default
i2b2_pedsnet,v2,observation_fact,concept_cd,string,50,,,
i2b2_pedsnet,v2,observation_fact,confidence_num,float,,18,5,
i2b2_pedsnet,v2,observation_fact,download_date,timestamp,,,,
i2b2_pedsnet,v2,observation_fact,encounter_num,integer,38,,,
i2b2_pedsnet,v2,observation_fact,end_date,timestamp,,,,
i2b2_pedsnet,v2,observation_fact,import_date,timestamp,,,,
i2b2_pedsnet,v2,observation_fact,instance_num,integer,18,,,
i2b2_pedsnet,v2,observation_fact,location_cd,string,50,,,
i2b2_pedsnet,v2,observation_fact,modifier_cd,string,100,,,
i2b2_pedsnet,v2,observation_fact,nval_num,float,,18,5,
i2b2_pedsnet,v2,observation_fact,observation_blob,string,,,,
i2b2_pedsnet,v2,observation_fact,patient_num,integer,38,,,
i2b2_pedsnet,v2,observation_fact,provider_id,string,50,,,
i2b2_pedsnet,v2,observation_fact,quantity_num,float,,18,5,
i2b2_pedsnet,v2,observation_fact,sourcesystem_cd,string,50,,,
i2b2_pedsnet,v2,observation_fact,start_date,timestamp,,,,
i2b2_pedsnet,v2,observation_fact,tval_char,string,255,,,
i2b2_pedsnet,v2,observation_fact,units_cd,string,50,,,
i2b2_pedsnet,v2,observation_fact,update_date,timestamp,,,,
i2b2_pedsnet,v2,observation_fact,upload_id,integer,38,,,
i2b2_pedsnet,v2,observation_fact,valtype_cd,string,50,,,
i2b2_pedsnet,v2,observation_fact,valueflag_cd,string,50,,,
