model,version,table,field,required,ref_table,ref_field,type
i2b2,v1.7,observation_fact,concept_cd,Yes,concept_dimension,concept_cd,string
i2b2,v1.7,observation_fact,confidence_num,No,,,float
i2b2,v1.7,observation_fact,download_date,No,,,timestamp
i2b2,v1.7,observation_fact,encounter_num,Yes,visit_dimension,encounter_num,integer
i2b2,v1.7,observation_fact,end_date,No,,,timestamp
i2b2,v1.7,observation_fact,import_date,No,,,timestamp
i2b2,v1.7,observation_fact,instance_num,Yes,,,integer
i2b2,v1.7,observation_fact,location_cd,No,,,string
i2b2,v1.7,observation_fact,modifier_cd,Yes,,,string
i2b2,v1.7,observation_fact,nval_num,No,,,float
i2b2,v1.7,observation_fact,observation_blob,No,,,string
i2b2,v1.7,observation_fact,patient_num,Yes,patient_dimension,patient_num,integer
i2b2,v1.7,observation_fact,provider_id,Yes,provider_dimension,provider_id,string
i2b2,v1.7,observation_fact,quantity_num,No,,,float
i2b2,v1.7,observation_fact,sourcesystem_cd,No,,,string
i2b2,v1.7,observation_fact,start_date,Yes,,,timestamp
i2b2,v1.7,observation_fact,tval_char,No,,,string
i2b2,v1.7,observation_fact,units_cd,No,,,string
i2b2,v1.7,observation_fact,update_date,No,,,timestamp
i2b2,v1.7,observation_fact,upload_id,No,,,integer
i2b2,v1.7,observation_fact,valtype_cd,No,,,string
i2b2,v1.7,observation_fact,valueflag_cd,No,,,string
