Table,Field,Required,Ref Table,Ref Field,Type
patient_dimension,age_in_years_num,No,,,number(38)
patient_dimension,birth_date,No,,,timestamp
patient_dimension,death_date,No,,,timestamp
patient_dimension,download_date,No,,,timestamp
patient_dimension,ethnicity_cd,No,,,text(200)
patient_dimension,import_date,No,,,timestamp
patient_dimension,income_cd,No,,,text(50)
patient_dimension,language_cd,No,,,text(50)
patient_dimension,marital_status_cd,No,,,text(50)
patient_dimension,patient_blob,No,,,text(x)
patient_dimension,patient_num,Yes,,,number(38)
patient_dimension,race_cd,No,,,text(50)
patient_dimension,religion_cd,No,,,text(50)
patient_dimension,sex_cd,No,,,text(50)
patient_dimension,sourcesystem_cd,No,,,text(50)
patient_dimension,statecityzip_path,No,,,text(700)
patient_dimension,update_date,No,,,timestamp
patient_dimension,upload_id,No,,,number(38)
patient_dimension,vital_status_cd,No,,,text(50)
patient_dimension,zip_cd,No,,,text(50)
