model,version,table,field,required,ref_table,ref_field,description
i2b2,v1.7,i2b2,c_basecode,No,,,
i2b2,v1.7,i2b2,c_columndatatype,No,,,
i2b2,v1.7,i2b2,c_columnname,No,,,
i2b2,v1.7,i2b2,c_comment,No,,,
i2b2,v1.7,i2b2,c_dimcode,No,,,
i2b2,v1.7,i2b2,c_facttablecolumn,No,,,
i2b2,v1.7,i2b2,c_fullname,No,,,
i2b2,v1.7,i2b2,c_hlevel,No,,,
i2b2,v1.7,i2b2,c_metadataxml,No,,,
i2b2,v1.7,i2b2,c_name,No,,,
i2b2,v1.7,i2b2,c_operator,No,,,
i2b2,v1.7,i2b2,c_path,No,,,
i2b2,v1.7,i2b2,c_symbol,No,,,
i2b2,v1.7,i2b2,c_synonym_cd,No,,,
i2b2,v1.7,i2b2,c_tablename,No,,,
i2b2,v1.7,i2b2,c_tooltip,No,,,
i2b2,v1.7,i2b2,c_totalnum,No,,,
i2b2,v1.7,i2b2,c_visualattributes,No,,,
i2b2,v1.7,i2b2,download_date,No,,,
i2b2,v1.7,i2b2,import_date,No,,,
i2b2,v1.7,i2b2,m_applied_path,No,,,
i2b2,v1.7,i2b2,m_exclusion_cd,No,,,
i2b2,v1.7,i2b2,sourcesystem_cd,No,,,
i2b2,v1.7,i2b2,update_date,No,,,
i2b2,v1.7,i2b2,valuetype_cd,No,,,
