Table,Field,Required,Ref Table,Ref Field,Type
i2b2,c_basecode,No,,,text(50)
i2b2,c_columndatatype,No,,,text(50)
i2b2,c_columnname,No,,,text(50)
i2b2,c_comment,No,,,text(x)
i2b2,c_dimcode,No,,,text(700)
i2b2,c_facttablecolumn,No,,,text950)
i2b2,c_fullname,No,,,text(700)
i2b2,c_hlevel,No,,,number(22)
i2b2,c_metadataxml,No,,,text(x)
i2b2,c_name,No,,,text(700)
i2b2,c_operator,No,,,text(10)
i2b2,c_path,No,,,text(700)
i2b2,c_symbol,No,,,text(50)
i2b2,c_synonym_cd,No,,,text(1)
i2b2,c_tablename,No,,,text(50)
i2b2,c_tooltip,No,,,text(900)
i2b2,c_totalnum,No,,,number(22)
i2b2,c_visualattributes,No,,,text(3)
i2b2,download_date,No,,,timestamp
i2b2,import_date,No,,,timestamp
i2b2,m_applied_path,No,,,text(700)
i2b2,m_exclusion_cd,No,,,text(25)
i2b2,sourcesystem_cd,No,,,text(50)
i2b2,update_date,No,,,timestamp
i2b2,valuetype_cd,No,,,text(50)
