model,version,table,field,type,length,precision,scale,default
i2b2,v1.7,observation_fact,concept_cd,string,50,,,
i2b2,v1.7,observation_fact,confidence_num,float,,,,
i2b2,v1.7,observation_fact,download_date,datetime,,,,
i2b2,v1.7,observation_fact,encounter_num,number,,38,5,
i2b2,v1.7,observation_fact,end_date,datetime,,,,
i2b2,v1.7,observation_fact,import_date,datetime,,,,
i2b2,v1.7,observation_fact,instance_num,number,,18,5,
i2b2,v1.7,observation_fact,location_cd,string,50,,,
i2b2,v1.7,observation_fact,modifier_cd,string,100,,,
i2b2,v1.7,observation_fact,nval_num,float,,,,
i2b2,v1.7,observation_fact,observation_blob,string,256,,,
i2b2,v1.7,observation_fact,patient_num,number,,38,5,
i2b2,v1.7,observation_fact,provider_id,string,50,,,
i2b2,v1.7,observation_fact,quantity_num,float,,,,
i2b2,v1.7,observation_fact,sourcesystem_cd,string,50,,,
i2b2,v1.7,observation_fact,start_date,datetime,,,,
i2b2,v1.7,observation_fact,tval_char,string,255,,,
i2b2,v1.7,observation_fact,units_cd,string,50,,,
i2b2,v1.7,observation_fact,update_date,datetime,,,,
i2b2,v1.7,observation_fact,upload_id,number,,38,5,
i2b2,v1.7,observation_fact,valtype_cd,string,50,,,
i2b2,v1.7,observation_fact,valueflag_cd,string,50,,,
