model,version,table,field,type,length,precision,scale,default
i2b2,v1.7,patient_dimension,age_in_years_num,number,,38,5,
i2b2,v1.7,patient_dimension,birth_date,datetime,,,,
i2b2,v1.7,patient_dimension,death_date,datetime,,,,
i2b2,v1.7,patient_dimension,download_date,datetime,,,,
i2b2,v1.7,patient_dimension,ethnicity_cd,string,200,,,
i2b2,v1.7,patient_dimension,import_date,datetime,,,,
i2b2,v1.7,patient_dimension,income_cd,string,50,,,
i2b2,v1.7,patient_dimension,language_cd,string,50,,,
i2b2,v1.7,patient_dimension,marital_status_cd,string,50,,,
i2b2,v1.7,patient_dimension,patient_blob,string,256,,,
i2b2,v1.7,patient_dimension,patient_num,number,,38,5,
i2b2,v1.7,patient_dimension,race_cd,string,50,,,
i2b2,v1.7,patient_dimension,religion_cd,string,50,,,
i2b2,v1.7,patient_dimension,sex_cd,string,50,,,
i2b2,v1.7,patient_dimension,sourcesystem_cd,string,50,,,
i2b2,v1.7,patient_dimension,statecityzip_path,string,700,,,
i2b2,v1.7,patient_dimension,update_date,datetime,,,,
i2b2,v1.7,patient_dimension,upload_id,number,,38,5,
i2b2,v1.7,patient_dimension,vital_status_cd,string,50,,,
i2b2,v1.7,patient_dimension,zip_cd,string,50,,,
