model,version,table,field,type,length,precision,scale,default
i2b2_pedsnet,2.0.1,provider_dimension,download_date,timestamp,,,,
i2b2_pedsnet,2.0.1,provider_dimension,import_date,timestamp,,,,
i2b2_pedsnet,2.0.1,provider_dimension,name_char,string,850,,,
i2b2_pedsnet,2.0.1,provider_dimension,provider_blob,string,,,,
i2b2_pedsnet,2.0.1,provider_dimension,provider_id,string,50,,,
i2b2_pedsnet,2.0.1,provider_dimension,provider_path,string,700,,,
i2b2_pedsnet,2.0.1,provider_dimension,sourcesystem_cd,string,50,,,
i2b2_pedsnet,2.0.1,provider_dimension,update_date,timestamp,,,,
i2b2_pedsnet,2.0.1,provider_dimension,upload_id,number,,38,,
i2b2_pedsnet,2.0.1,provider_dimension,gender_cd,string,254,,,
i2b2_pedsnet,2.0.1,provider_dimension,npi,string,50,,,
i2b2_pedsnet,2.0.1,provider_dimension,dea,string,50,,,
i2b2_pedsnet,2.0.1,provider_dimension,department_id,integer,,,,
i2b2_pedsnet,2.0.1,provider_dimension,department_name,string,254,,,
i2b2_pedsnet,2.0.1,provider_dimension,specialty_source_c,string,254,,,
i2b2_pedsnet,2.0.1,provider_dimension,specialty_source_value,string,254,,,
