model,version,table,field,type,length,precision,scale,default
i2b2_pedsnet,2.0.1,visit_dimension,active_status_cd,string,50,,,
i2b2_pedsnet,2.0.1,visit_dimension,download_date,timestamp,,,,
i2b2_pedsnet,2.0.1,visit_dimension,encounter_num,number,,38,5,
i2b2_pedsnet,2.0.1,visit_dimension,end_date,timestamp,,,,
i2b2_pedsnet,2.0.1,visit_dimension,import_date,timestamp,,,,
i2b2_pedsnet,2.0.1,visit_dimension,inout_cd,string,50,,,
i2b2_pedsnet,2.0.1,visit_dimension,length_of_stay,number,,38,5,
i2b2_pedsnet,2.0.1,visit_dimension,location_cd,string,50,,,
i2b2_pedsnet,2.0.1,visit_dimension,location_path,string,900,,,
i2b2_pedsnet,2.0.1,visit_dimension,patient_num,number,,38,5,
i2b2_pedsnet,2.0.1,visit_dimension,sourcesystem_cd,string,50,,,
i2b2_pedsnet,2.0.1,visit_dimension,start_date,timestamp,,,,
i2b2_pedsnet,2.0.1,visit_dimension,update_date,timestamp,,,,
i2b2_pedsnet,2.0.1,visit_dimension,upload_id,number,,38,5,
i2b2_pedsnet,2.0.1,visit_dimension,visit_blob,string,256,,,
i2b2_pedsnet,2.0.1,visit_dimension,provider_id,integer,,,,
i2b2_pedsnet,2.0.1,visit_dimension,disch_disp_destcd,string,50,,,
i2b2_pedsnet,2.0.1,visit_dimension,disch_status_destcd,string,50,,,
i2b2_pedsnet,2.0.1,visit_dimension,admit_src_destcd,string,50,,,
