model,version,type,name,table,field
i2b2_pedsnet,v2,not null,,i2b2,c_columndatatype
i2b2_pedsnet,v2,not null,,i2b2,c_columnname
i2b2_pedsnet,v2,not null,,i2b2,c_dimcode
i2b2_pedsnet,v2,not null,,i2b2,c_facttablecolumn
i2b2_pedsnet,v2,not null,,i2b2,c_fullname
i2b2_pedsnet,v2,not null,,i2b2,c_hlevel
i2b2_pedsnet,v2,not null,,i2b2,c_name
i2b2_pedsnet,v2,not null,,i2b2,c_operator
i2b2_pedsnet,v2,not null,,i2b2,c_synonym_cd
i2b2_pedsnet,v2,not null,,i2b2,c_tablename
i2b2_pedsnet,v2,not null,,i2b2,c_visualattributes
i2b2_pedsnet,v2,not null,,i2b2,m_applied_path
