model,version,table,field,required,ref_table,ref_field,description
i2b2_pedsnet,v2,observation_fact,concept_cd,Yes,concept_dimension,concept_cd,
i2b2_pedsnet,v2,observation_fact,confidence_num,No,,,
i2b2_pedsnet,v2,observation_fact,download_date,No,,,
i2b2_pedsnet,v2,observation_fact,encounter_num,Yes,visit_dimension,encounter_num,
i2b2_pedsnet,v2,observation_fact,end_date,No,,,
i2b2_pedsnet,v2,observation_fact,import_date,No,,,
i2b2_pedsnet,v2,observation_fact,instance_num,Yes,,,
i2b2_pedsnet,v2,observation_fact,location_cd,No,,,
i2b2_pedsnet,v2,observation_fact,modifier_cd,Yes,,,
i2b2_pedsnet,v2,observation_fact,nval_num,No,,,
i2b2_pedsnet,v2,observation_fact,observation_blob,No,,,
i2b2_pedsnet,v2,observation_fact,patient_num,Yes,patient_dimension,patient_num,
i2b2_pedsnet,v2,observation_fact,provider_id,Yes,provider_dimension,provider_id,
i2b2_pedsnet,v2,observation_fact,quantity_num,No,,,
i2b2_pedsnet,v2,observation_fact,sourcesystem_cd,No,,,
i2b2_pedsnet,v2,observation_fact,start_date,Yes,,,
i2b2_pedsnet,v2,observation_fact,tval_char,No,,,
i2b2_pedsnet,v2,observation_fact,units_cd,No,,,
i2b2_pedsnet,v2,observation_fact,update_date,No,,,
i2b2_pedsnet,v2,observation_fact,upload_id,No,,,
i2b2_pedsnet,v2,observation_fact,valtype_cd,No,,,
i2b2_pedsnet,v2,observation_fact,valueflag_cd,No,,,
