model,version,name,unique,table,field,order
i2b2_pedsnet,v2,ix_pat_pat_vital_dates,No,patient_dimension,patient_num,asc
i2b2_pedsnet,v2,ix_pat_pat_vital_dates,No,patient_dimension,vital_status_cd,asc
i2b2_pedsnet,v2,ix_pat_pat_vital_dates,No,patient_dimension,birth_date,asc
i2b2_pedsnet,v2,ix_pat_pat_vital_dates,No,patient_dimension,death_date,asc
i2b2_pedsnet,v2,ix_pat_pat_all,No,patient_dimension,patient_num,asc
i2b2_pedsnet,v2,ix_pat_pat_all,No,patient_dimension,vital_status_cd,asc
i2b2_pedsnet,v2,ix_pat_pat_all,No,patient_dimension,birth_date,asc
i2b2_pedsnet,v2,ix_pat_pat_all,No,patient_dimension,death_date,asc
i2b2_pedsnet,v2,ix_pat_pat_all,No,patient_dimension,sex_cd,asc
i2b2_pedsnet,v2,ix_pat_pat_all,No,patient_dimension,age_in_years_num,asc
i2b2_pedsnet,v2,ix_pat_pat_all,No,patient_dimension,language_cd,asc
i2b2_pedsnet,v2,ix_pat_pat_all,No,patient_dimension,race_cd,asc
i2b2_pedsnet,v2,ix_pat_pat_all,No,patient_dimension,marital_status_cd,asc
i2b2_pedsnet,v2,ix_pat_pat_all,No,patient_dimension,religion_cd,asc
i2b2_pedsnet,v2,ix_pat_pat_all,No,patient_dimension,zip_cd,asc
i2b2_pedsnet,v2,ix_pat_pat_all,No,patient_dimension,income_cd,asc
i2b2_pedsnet,v2,ix_pat_pat_statecityzip,No,patient_dimension,statecityzip_path,asc
i2b2_pedsnet,v2,ix_pat_pat_statecityzip,No,patient_dimension,patient_num,asc
i2b2_pedsnet,v2,ix_pat_upload_id,No,patient_dimension,upload_id,asc
