model,version,table,field,required,ref_table,ref_field,description
i2b2_pedsnet,v2,provider_dimension,download_date,No,,,
i2b2_pedsnet,v2,provider_dimension,import_date,No,,,
i2b2_pedsnet,v2,provider_dimension,name_char,No,,,
i2b2_pedsnet,v2,provider_dimension,provider_blob,No,,,
i2b2_pedsnet,v2,provider_dimension,provider_id,Yes,,,
i2b2_pedsnet,v2,provider_dimension,provider_path,Yes,,,
i2b2_pedsnet,v2,provider_dimension,sourcesystem_cd,No,,,
i2b2_pedsnet,v2,provider_dimension,update_date,No,,,
i2b2_pedsnet,v2,provider_dimension,upload_id,No,,,
i2b2_pedsnet,v2,provider_dimension,gender_cd,No,,,
i2b2_pedsnet,v2,provider_dimension,npi,No,,,
i2b2_pedsnet,v2,provider_dimension,dea,No,,,
i2b2_pedsnet,v2,provider_dimension,department_id,No,,,
i2b2_pedsnet,v2,provider_dimension,department_name,No,,,
i2b2_pedsnet,v2,provider_dimension,specialty_source_c,No,,,
i2b2_pedsnet,v2,provider_dimension,specialty_source_value,No,,,
