model,version,name,unique,table,field,order
i2b2_pedsnet,v2,ix_visit_encounter_patient,No,visit_dimension,encounter_num,asc
i2b2_pedsnet,v2,ix_visit_encounter_patient,No,visit_dimension,patient_num,asc
i2b2_pedsnet,v2,ix_visit_enc_pat_loc,No,visit_dimension,encounter_num,asc
i2b2_pedsnet,v2,ix_visit_enc_pat_loc,No,visit_dimension,patient_num,asc
i2b2_pedsnet,v2,ix_visit_enc_pat_loc,No,visit_dimension,location_path,asc
i2b2_pedsnet,v2,ix_visit_enc_pat_loc,No,visit_dimension,inout_cd,asc
i2b2_pedsnet,v2,ix_visit_enc_pat_loc,No,visit_dimension,start_date,asc
i2b2_pedsnet,v2,ix_visit_enc_pat_loc,No,visit_dimension,end_date,asc
i2b2_pedsnet,v2,ix_visit_enc_pat_loc,No,visit_dimension,length_of_stay,asc
i2b2_pedsnet,v2,ix_visit_sourcesystem_cd,No,visit_dimension,sourcesystem_cd,asc
i2b2_pedsnet,v2,ix_visit_start_date_end_date,No,visit_dimension,start_date,asc
i2b2_pedsnet,v2,ix_visit_start_date_end_date,No,visit_dimension,end_date,asc
i2b2_pedsnet,v2,ix_visit_upload_id,No,visit_dimension,upload_id,asc
