target_model,target_version,target_table,target_field,source_model,source_version,source_table,source_field,comment
pedsnet,v1,care_site,care_site_id,omop,v4,care_site,care_site_id,
pedsnet,v1,care_site,care_site_source_value,omop,v4,care_site,care_site_source_value,
pedsnet,v1,care_site,location_id,omop,v4,care_site,location_id,
pedsnet,v1,care_site,organization_id,omop,v4,care_site,organization_id,
pedsnet,v1,care_site,place_of_service_concept_id,omop,v4,care_site,place_of_service_concept_id,
pedsnet,v1,care_site,place_of_service_source_value,omop,v4,care_site,place_of_service_source_value,
pedsnet,v1,condition_occurrence,associated_provider_id,omop,v4,condition_occurrence,associated_provider_id,
pedsnet,v1,condition_occurrence,condition_concept_id,omop,v4,condition_occurrence,condition_concept_id,
pedsnet,v1,condition_occurrence,condition_end_date,omop,v4,condition_occurrence,condition_end_date,
pedsnet,v1,condition_occurrence,condition_occurrence_id,omop,v4,condition_occurrence,condition_occurrence_id,
pedsnet,v1,condition_occurrence,condition_source_value,omop,v4,condition_occurrence,condition_source_value,
pedsnet,v1,condition_occurrence,condition_start_date,omop,v4,condition_occurrence,condition_start_date,
pedsnet,v1,condition_occurrence,condition_type_concept_id,omop,v4,condition_occurrence,condition_type_concept_id,
pedsnet,v1,condition_occurrence,person_id,omop,v4,condition_occurrence,person_id,
pedsnet,v1,condition_occurrence,stop_reason,omop,v4,condition_occurrence,stop_reason,
pedsnet,v1,condition_occurrence,visit_occurrence_id,omop,v4,condition_occurrence,visit_occurrence_id,
pedsnet,v1,death,cause_of_death_concept_id,omop,v4,death,cause_of_death_concept_id,
pedsnet,v1,death,cause_of_death_source_value,omop,v4,death,cause_of_death_source_value,
pedsnet,v1,death,death_date,omop,v4,death,death_date,
pedsnet,v1,death,death_type_concept_id,omop,v4,death,death_type_concept_id,
pedsnet,v1,death,person_id,omop,v4,death,person_id,
pedsnet,v1,location,address_1,omop,v4,location,address_1,
pedsnet,v1,location,address_2,omop,v4,location,address_2,
pedsnet,v1,location,city,omop,v4,location,city,
pedsnet,v1,location,county,omop,v4,location,county,
pedsnet,v1,location,location_id,omop,v4,location,location_id,
pedsnet,v1,location,location_source_value,omop,v4,location,location_source_value,
pedsnet,v1,location,state,omop,v4,location,state,
pedsnet,v1,location,zip,omop,v4,location,zip,
pedsnet,v1,observation,associated_provider_id,omop,v4,observation,associated_provider_id,
pedsnet,v1,observation,observation_concept_id,omop,v4,observation,observation_concept_id,
pedsnet,v1,observation,observation_date,omop,v4,observation,observation_date,
pedsnet,v1,observation,observation_id,omop,v4,observation,observation_id,
pedsnet,v1,observation,observation_source_value,omop,v4,observation,observation_source_value,
pedsnet,v1,observation,observation_time,omop,v4,observation,observation_time,
pedsnet,v1,observation,observation_type_concept_id,omop,v4,observation,observation_type_concept_id,
pedsnet,v1,observation,person_id,omop,v4,observation,person_id,
pedsnet,v1,observation,range_high,omop,v4,observation,range_high,
pedsnet,v1,observation,range_low,omop,v4,observation,range_low,
pedsnet,v1,observation,relevant_condition_concept_id,omop,v4,observation,relevant_condition_concept_id,
pedsnet,v1,observation,unit_concept_id,omop,v4,observation,unit_concept_id,
pedsnet,v1,observation,unit_source_value,omop,v4,observation,unit_source_value,
pedsnet,v1,observation,value_as_concept_id,omop,v4,observation,value_as_concept_id,
pedsnet,v1,observation,value_as_number,omop,v4,observation,value_as_number,
pedsnet,v1,observation,value_as_string,omop,v4,observation,value_as_string,
pedsnet,v1,observation,visit_occurrence_id,omop,v4,observation,visit_occurrence_id,
pedsnet,v1,observation_period,observation_period_end_date,omop,v4,observation_period,observation_period_end_date,
pedsnet,v1,observation_period,observation_period_id,omop,v4,observation_period,observation_period_id,
pedsnet,v1,observation_period,observation_period_start_date,omop,v4,observation_period,observation_period_start_date,
pedsnet,v1,observation_period,person_id,omop,v4,observation_period,person_id,
pedsnet,v1,organization,location_id,omop,v4,organization,location_id,
pedsnet,v1,organization,organization_id,omop,v4,organization,organization_id,
pedsnet,v1,organization,organization_source_value,omop,v4,organization,organization_source_value,
pedsnet,v1,organization,place_of_service_concept_id,omop,v4,organization,place_of_service_concept_id,
pedsnet,v1,organization,place_of_service_source_value,omop,v4,organization,place_of_service_source_value,
pedsnet,v1,person,care_site_id,omop,v4,person,care_site_id,
pedsnet,v1,person,day_of_birth,omop,v4,person,day_of_birth,
pedsnet,v1,person,ethnicity_concept_id,omop,v4,person,ethnicity_concept_id,
pedsnet,v1,person,ethnicity_source_value,omop,v4,person,ethnicity_source_value,
pedsnet,v1,person,gender_concept_id,omop,v4,person,gender_concept_id,
pedsnet,v1,person,gender_source_value,omop,v4,person,gender_source_value,
pedsnet,v1,person,location_id,omop,v4,person,location_id,
pedsnet,v1,person,month_of_birth,omop,v4,person,month_of_birth,
pedsnet,v1,person,person_id,omop,v4,person,person_id,
pedsnet,v1,person,provider_id,omop,v4,person,provider_id,
pedsnet,v1,person,race_concept_id,omop,v4,person,race_concept_id,
pedsnet,v1,person,race_source_value,omop,v4,person,race_source_value,
pedsnet,v1,person,year_of_birth,omop,v4,person,year_of_birth,
pedsnet,v1,procedure_occurrence,associated_provider_id,omop,v4,procedure_occurrence,associated_provider_id,
pedsnet,v1,procedure_occurrence,person_id,omop,v4,procedure_occurrence,person_id,
pedsnet,v1,procedure_occurrence,procedure_concept_id,omop,v4,procedure_occurrence,procedure_concept_id,
pedsnet,v1,procedure_occurrence,procedure_date,omop,v4,procedure_occurrence,procedure_date,
pedsnet,v1,procedure_occurrence,procedure_occurrence_id,omop,v4,procedure_occurrence,procedure_occurrence_id,
pedsnet,v1,procedure_occurrence,procedure_source_value,omop,v4,procedure_occurrence,procedure_source_value,
pedsnet,v1,procedure_occurrence,procedure_type_concept_id,omop,v4,procedure_occurrence,procedure_type_concept_id,
pedsnet,v1,procedure_occurrence,relevant_condition_concept_id,omop,v4,procedure_occurrence,relevant_condition_concept_id,
pedsnet,v1,procedure_occurrence,visit_occurrence_id,omop,v4,procedure_occurrence,visit_occurrence_id,
pedsnet,v1,provider,care_site_id,omop,v4,provider,care_site_id,
pedsnet,v1,provider,dea,omop,v4,provider,dea,
pedsnet,v1,provider,npi,omop,v4,provider,npi,
pedsnet,v1,provider,provider_id,omop,v4,provider,provider_id,
pedsnet,v1,provider,provider_source_value,omop,v4,provider,provider_source_value,
pedsnet,v1,provider,specialty_concept_id,omop,v4,provider,specialty_concept_id,
pedsnet,v1,provider,specialty_source_value,omop,v4,provider,specialty_source_value,
pedsnet,v1,visit_occurrence,care_site_id,omop,v4,visit_occurrence,care_site_id,
pedsnet,v1,visit_occurrence,person_id,omop,v4,visit_occurrence,person_id,
pedsnet,v1,visit_occurrence,place_of_service_concept_id,omop,v4,visit_occurrence,place_of_service_concept_id,
pedsnet,v1,visit_occurrence,place_of_service_source_value,omop,v4,visit_occurrence,place_of_service_source_value,
pedsnet,v1,visit_occurrence,visit_end_date,omop,v4,visit_occurrence,visit_end_date,
pedsnet,v1,visit_occurrence,visit_occurrence_id,omop,v4,visit_occurrence,visit_occurrence_id,
pedsnet,v1,visit_occurrence,visit_start_date,omop,v4,visit_occurrence,visit_start_date,
