Table,Field,Required,Ref Table,Ref Field,Type Precision,Standard,Description
cdm_source,cdm_etl_reference,No,,,varchar(255),,URL or other external reference to location of ETL specification documentation and ETL source code 
cdm_source,cdm_holder,No,,,varchar(255),,The name of the organization responsible for the development of the CDM instance 
cdm_source,cdm_release_date,No,,,date,,The date when the CDM was instantiated 
cdm_source,cdm_source_abbreviation,No,,,varchar(25),,An abbreviation of the name 
cdm_source,cdm_source_name,Yes,,,varchar(255),,The full name of the source.
cdm_source,cdm_version,No,,,varchar(10),,The version of CDM used 
cdm_source,source_description,No,,,clob,,A description of the source data origin and purpose for collection. The description may contain a summary of the period of time that is expected to be covered by this dataset. 
cdm_source,source_documentation_reference,No,,,varchar(255),,URL or other external reference to location of source documentation 
cdm_source,source_release_date,No,,,date,,"The date for which the source data is most current, such as the last day of data capture "
cdm_source,vocabulary_version,No,,,varchar(20),,The version of the vocabulary used 
