Table,Field,Required,Ref Table,Ref Field,Type Precision,Standard,Description
device_exposure,device_concept_id,Yes,concept,concept_id,integer,,Only the DI portion of the UDI would be captured as a Concept in the Standardized Vocabularies. 
device_exposure,device_exposure_end_date,No,,,date,,The date the device or supply was removed from use. 
device_exposure,device_exposure_id,Yes,,,integer,,A system-generated unique identifier for each device exposure. 
device_exposure,device_exposure_start_date,Yes,,,date,,The date the device or supply was applied or used. 
device_exposure,device_source_concept_id,No,concept,concept_id,integer,,A foreign key to a device concept that refers to the code used in the source. 
device_exposure,device_source_value,No,,,varchar(50),,The source code for the device as it appears in the source data. This code is mapped to a standard device concept in the Standardized Vocabularies and the original code is stored here for reference. 
device_exposure,device_type_concept_id,Yes,concept,concept_id,integer,,"Provenance for the data, e.g. procedure device, from registry, etc. "
device_exposure,person_id,Yes,person,person_id,integer,,A foreign key identifier to the person who is subjected to the procedure. The demographic details of that person are stored in the person table. 
device_exposure,provider_id,No,provider,provider_id,integer,,A foreign key to the provider in the provider table who was responsible for using the device. 
device_exposure,quantity,No,,,integer,,The number of individual devices used for the exposure 
device_exposure,unique_device_id,No,,,varchar(50),,The entire UDI or equivalent. 
device_exposure,visit_occurrence_id,No,visit_occurrence,visit_occurrence_id,integer,,A foreign key to the visit in the visit table during which the device was used. 
