Table,Field,Required,Ref Table,Ref Field,Type Precision,Standard,Description
person,care_site_id,No,care_site,care_site_id,integer,,"A foreign key to the primary care site in the care site table, where the details of the care site are stored. "
person,day_of_birth,No,,,integer,,"The day of the month of birth of the person. For data sources that provide the precise date of birth, the day is extracted and stored in this field. "
person,ethnicity_concept_id,Yes,concept,concept_id,integer,OMB,A foreign key that refers to the standard concept identifier in the vocabulary for the ethnicity of the person. 
person,ethnicity_source_concept_id,No,concept,concept_id,integer,,A foreign key to the ethnicity concept that refers to the code used in the source. 
person,ethnicity_source_value,No,,,varchar(50),,"The source code for the ethnicity of the person as it appears in the source data. The person ethnicity is mapped to a standard ethnicity concept in the vocabulary and the original code is, stored here for reference. "
person,gender_concept_id,Yes,concept,concept_id,integer,HL7,A foreign key that refers to a standard concept identifier in the vocabulary for the gender of the person. 
person,gender_source_concept_id,No,concept,concept_id,integer,,A foreign key to the gender concept that refers to the code used in the source. 
person,gender_source_value,No,,,varchar(50),,"The source code for the gender of the person as it appears in the source data. The person gender is mapped to a standard gender concept in the vocabulary and the corresponding concept identifier is, stored here for reference. "
person,location_id,No,location,location_id,integer,,"A foreign key to the place of residency for the person in the location table, where the detailed address information is stored. "
person,month_of_birth,No,,,integer,,"The month of birth of the person. For data sources that provide the precise date of birth, the month is extracted and stored in this field. "
person,person_id,Yes,,,integer,,A system-generated unique identifier for each person.
person,person_source_value,No,,,varchar(50),,An encrypted key derived from the person identifier in the source data. This is necessary when a drug safety issue requires a link back to the person data at the source dataset. No value with any medical or demographic significance must be stored. 
person,provider_id,No,provider,provider_id,integer,,A foreign key to the primary care provider the person is seeing in the provider table. 
person,race_concept_id,Yes,concept,concept_id,integer,"OMB, CDC",A foreign key that refers to a standard concept identifier in the vocabulary for the race of the person. 
person,race_source_concept_id,No,concept,concept_id,integer,,A foreign key to the race concept that refers to the code used in the source. 
person,race_source_value,No,,,varchar(50),,"The source code for the race of the person as it appears in the source data. The person race is mapped to a standard race concept in the vocabulary and the original code is, stored here for reference. "
person,time_of_birth,No,,,time,,The time of birth at the birth day 
person,year_of_birth,Yes,,,integer,,"The year of birth of the person. For data sources with date of birth, the year is extracted. For data sources where the year of birth is not available, the approximate year of birth is derived based on any age group categorization available. "
