model,version,table,field,type,length,precision,scale,default
omop,4.0.0,drug_cost,average_wholesale_price,number,,8,2,
omop,4.0.0,drug_cost,dispensing_fee,number,,8,2,
omop,4.0.0,drug_cost,drug_cost_id,integer,,,,
omop,4.0.0,drug_cost,drug_exposure_id,integer,,,,
omop,4.0.0,drug_cost,ingredient_cost,number,,8,2,
omop,4.0.0,drug_cost,paid_by_coordination_benefits,number,,8,2,
omop,4.0.0,drug_cost,paid_by_payer,number,,8,2,
omop,4.0.0,drug_cost,paid_coinsurance,number,,8,2,
omop,4.0.0,drug_cost,paid_copay,number,,8,2,
omop,4.0.0,drug_cost,paid_toward_deductible,number,,8,2,
omop,4.0.0,drug_cost,payer_plan_period_id,integer,,,,
omop,4.0.0,drug_cost,total_out_of_pocket,number,,8,2,
omop,4.0.0,drug_cost,total_paid,number,,8,2,
