model,version,table,field,type,length,precision,scale,default
omop,4.0.0,drug_exposure,days_supply,number,,4,0,
omop,4.0.0,drug_exposure,drug_concept_id,integer,,,,
omop,4.0.0,drug_exposure,drug_exposure_end_date,date,,,,
omop,4.0.0,drug_exposure,drug_exposure_id,integer,,,,
omop,4.0.0,drug_exposure,drug_exposure_start_date,date,,,,
omop,4.0.0,drug_exposure,drug_source_value,string,50,,,
omop,4.0.0,drug_exposure,drug_type_concept_id,integer,,,,
omop,4.0.0,drug_exposure,person_id,integer,,,,
omop,4.0.0,drug_exposure,prescribing_provider_id,integer,,,,
omop,4.0.0,drug_exposure,quantity,number,,4,0,
omop,4.0.0,drug_exposure,refills,number,,3,0,
omop,4.0.0,drug_exposure,relevant_condition_concept_id,integer,,,,
omop,4.0.0,drug_exposure,sig,string,500,,,
omop,4.0.0,drug_exposure,stop_reason,string,20,,,
omop,4.0.0,drug_exposure,visit_occurrence_id,integer,,,,
