model,version,table,field,type,length,precision,scale,default
omop,4.0.0,drug_strength,amount_unit,string,60,,,
omop,4.0.0,drug_strength,amount_value,number,,20,5,
omop,4.0.0,drug_strength,concentration_denom_unit,string,60,,,
omop,4.0.0,drug_strength,concentration_enum_unit,string,60,,,
omop,4.0.0,drug_strength,concentration_value,number,,20,5,
omop,4.0.0,drug_strength,drug_concept_id,integer,,,,
omop,4.0.0,drug_strength,ingredient_concept_id,integer,,,,
omop,4.0.0,drug_strength,invalid_reason,string,1,,,
omop,4.0.0,drug_strength,valid_end_date,date,,,,
omop,4.0.0,drug_strength,valid_start_date,date,,,,
