model,version,table,field,required,ref_table,ref_field,standard,description
omop,4.0.0,source_to_concept_map,invalid_reason,No,,,,"Reason the mapping instance was invalidated. Possible values are D (deleted), U (replaced with an update) or NULL when valid_end_date has the default value. "
omop,4.0.0,source_to_concept_map,mapping_type,No,,,,"A string identifying the observational data element being translated. Examples include ‘DRUG’, ‘CONDITION’, ‘PROCEDURE’, ‘PROCEDURE DRUG’ etc. It is important to pick the appropriate mapping record when the same source code is being mapped to different concepts in different contexts. As an example a procedure code for drug administration can be mapped to a procedure concept or a drug concept or both. "
omop,4.0.0,source_to_concept_map,primary_map,No,,,,"A boolean value identifying the primary mapping relationship for those sets where the source_code, the source_vocabulary_id and the mapping type is identical (one-to-many mappings). The ETL will only consider the primary map. Permitted values are Y and NULL. "
omop,4.0.0,source_to_concept_map,source_code,Yes,,,,The source code being translated into a standard concept.
omop,4.0.0,source_to_concept_map,source_code_description,No,,,,An optional description for the source code. This is included as a convenience to compare the description of the source code to the name of the concept.
omop,4.0.0,source_to_concept_map,source_vocabulary_id,Yes,vocabulary,vocabulary_id,,A foreign key to the vocabulary table defining the vocabulary of the source code that is being mapped to the standard vocabulary.
omop,4.0.0,source_to_concept_map,target_concept_id,Yes,concept,concept_id,,A foreign key to the concept to which the source code is being mapped.
omop,4.0.0,source_to_concept_map,target_vocabulary_id,Yes,vocabulary,vocabulary_id,,A foreign key to the vocabulary table defining the vocabulary of the target concept.
omop,4.0.0,source_to_concept_map,valid_end_date,Yes,,,,The date when the mapping instance became invalid because it was deleted or superseded (updated) by a new relationship. Default value is 31-Dec-2099.
omop,4.0.0,source_to_concept_map,valid_start_date,Yes,,,,The date when the mapping instance was first recorded.
