model,version,table,field,type,length,precision,scale,default
omop,5.0.0,concept,concept_class_id,string,20,,,
omop,5.0.0,concept,concept_code,string,50,,,
omop,5.0.0,concept,concept_id,integer,,,,
omop,5.0.0,concept,concept_name,string,255,,,
omop,5.0.0,concept,domain_id,string,20,,,
omop,5.0.0,concept,invalid_reason,string,1,,,
omop,5.0.0,concept,standard_concept,string,1,,,
omop,5.0.0,concept,valid_end_date,date,,,,
omop,5.0.0,concept,valid_start_date,date,,,,
omop,5.0.0,concept,vocabulary_id,string,20,,,
