model,version,table,field,required,ref_table,ref_field,standard,description
omop,5.0.0,device_cost,currency_concept_id,No,concept,concept_id,,"A concept representing the 3-letter code used to delineate international currencies, such as USD for US Dollar. "
omop,5.0.0,device_cost,device_cost_id,Yes,,,,A unique identifier for each procedure cost record.
omop,5.0.0,device_cost,device_exposure_id,Yes,device_exposure,device_exposure_id,,A foreign key identifier to the procedure record for which cost data are recorded.
omop,5.0.0,device_cost,paid_by_coordination_benefits,No,,,,The amount paid by a secondary payer through the coordination of benefits.
omop,5.0.0,device_cost,paid_by_payer,No,,,,"The amount paid by the payer (insurer). If there is more than one payer, several procedure_cost records indicate that fact. "
omop,5.0.0,device_cost,paid_coinsurance,No,,,,"The amount paid by the person as a joint assumption of risk. Typically, this is a percentage of the expenses defined by the payer plan (policy) after the person's deductible is exceeded. "
omop,5.0.0,device_cost,paid_copay,No,,,,The amount paid by the person as a fixed contribution to the expenses. Copay does not contribute to the out_of_pocket expenses.
omop,5.0.0,device_cost,paid_toward_deductible,No,,,,The amount paid by the person that is counted toward the deductible defined by the payer plan (policy).
omop,5.0.0,device_cost,payer_plan_period_id,No,payer_plan_period,payer_plan_period_id,,"A foreign key to the payer_plan_period table, where the details of the payer, plan and family are stored. "
omop,5.0.0,device_cost,total_out_of_pocket,No,,,,"The total amount paid by the person as a share of the expenses, excluding the copay. "
omop,5.0.0,device_cost,total_paid,No,,,,The total amount paid for the expenses of the procedure.
