model,version,table,field,type,length,precision,scale,default
omop,5.0.0,measurement,measurement_concept_id,integer,,,,
omop,5.0.0,measurement,measurement_date,date,,,,
omop,5.0.0,measurement,measurement_id,integer,,,,
omop,5.0.0,measurement,measurement_source_concept_id,integer,,,,
omop,5.0.0,measurement,measurement_source_value,string,50,,,
omop,5.0.0,measurement,measurement_time,string,10,,,
omop,5.0.0,measurement,measurement_type_concept_id,integer,,,,
omop,5.0.0,measurement,operator_concept_id,integer,,,,
omop,5.0.0,measurement,person_id,integer,,,,
omop,5.0.0,measurement,provider_id,integer,,,,
omop,5.0.0,measurement,range_high,number,,20,5,
omop,5.0.0,measurement,range_low,number,,20,5,
omop,5.0.0,measurement,unit_concept_id,integer,,,,
omop,5.0.0,measurement,unit_source_value,string,50,,,
omop,5.0.0,measurement,value_as_concept_id,integer,,,,
omop,5.0.0,measurement,value_as_number,number,,20,5,
omop,5.0.0,measurement,value_source_value,string,50,,,
omop,5.0.0,measurement,visit_occurrence_id,integer,,,,
