model,version,table,field,required,ref_table,ref_field,standard,description
omop,v4,drug_strength,drug_concept_id,,,,,
omop,v4,drug_strength,ingredient_concept_id,,,,,
omop,v4,drug_strength,amount_value,,,,,
omop,v4,drug_strength,amount_unit,,,,,
omop,v4,drug_strength,concentration_value,,,,,
omop,v4,drug_strength,concentration_enum_unit,,,,,
omop,v4,drug_strength,concentration_denom_unit,,,,,
omop,v4,drug_strength,valid_start_date,,,,,
omop,v4,drug_strength,valid_end_date,,,,,
omop,v4,drug_strength,invalid_reason,,,,,
