model,version,table,field,type,length,precision,scale,default
omop,v4,condition_occurrence,associated_provider_id,integer,,,,
omop,v4,condition_occurrence,condition_concept_id,integer,,,,
omop,v4,condition_occurrence,condition_end_date,date,,,,
omop,v4,condition_occurrence,condition_occurrence_id,integer,,,,
omop,v4,condition_occurrence,condition_source_value,string,50,,,
omop,v4,condition_occurrence,condition_start_date,date,,,,
omop,v4,condition_occurrence,condition_type_concept_id,integer,,,,
omop,v4,condition_occurrence,person_id,integer,,,,
omop,v4,condition_occurrence,stop_reason,string,20,,,
omop,v4,condition_occurrence,visit_occurrence_id,integer,,,,
