model,version,table,field,required,ref_table,ref_field,standard,description
omop,v5.1,drug_exposure,days_supply,No,,,,The number of days of supply of the medication as recorded in the original prescription or dispensing record. 
omop,v5.1,drug_exposure,dose_unit_concept_id,No,concept,concept_id,,A foreign key to a predefined concept in the Standardized Vocabularies reflecting the unit the effective_drug_dose value is expressed. 
omop,v5.1,drug_exposure,dose_unit_source_value,No,,,,The information about the dose unit as detailed in the source. 
omop,v5.1,drug_exposure,drug_concept_id,Yes,concept,concept_id,RxNorm,A foreign key that refers to a standard concept identifier in the vocabulary for the drug concept. 
omop,v5.1,drug_exposure,drug_exposure_end_date,No,,,,The end date for the current instance of drug utilization. It is not available from all sources. 
omop,v5.1,drug_exposure,drug_exposure_end_datetime,No,,,,The end date and time for the current instance of Drug utilization. It is not available from all sources.
omop,v5.1,drug_exposure,drug_exposure_id,Yes,,,,A system-generated unique identifier for each drug utilization event. 
omop,v5.1,drug_exposure,drug_exposure_start_date,Yes,,,,"The start date for the current instance of drug utilization. Valid entries include a start date of a prescription, the date a prescription was filled, or the date on which a drug administration procedure was recorded. "
omop,v5.1,drug_exposure,drug_exposure_start_datetime,Yes,,,,"The start date and time for the current instance of Drug utilization. Valid entries include a start date of a prescription, the date a prescription was filled, or the date on which a Drug administration procedure was recorded."
omop,v5.1,drug_exposure,drug_source_concept_id,No,concept,concept_id,,A foreign key to a drug concept that refers to the code used in the source. 
omop,v5.1,drug_exposure,drug_source_value,No,,,,"The source code for the drug as it appears in the source data. This code is mapped to a standard drug concept in the vocabulary and the original code is, stored here for reference. "
omop,v5.1,drug_exposure,drug_type_concept_id,Yes,concept,concept_id,OMOP,"A foreign key to the predefined concept identifier in the vocabulary reflecting the type of drug exposure recorded. It indicates how the drug exposure was represented in the source data: as medication history, filled prescriptions, etc. "
omop,v5.1,drug_exposure,effective_drug_dose,No,,,,Numerical value of drug dose for this drug_exposure record. 
omop,v5.1,drug_exposure,lot_number,No,,,,An identifier to determine where the product originated 
omop,v5.1,drug_exposure,person_id,Yes,person,person_id,,A foreign key identifier to the person who is subjected to the drug. The demographic details of that person are stored in the person table. 
omop,v5.1,drug_exposure,provider_id,No,provider,provider_id,,A foreign key to the provider in the provider table who initiated (prescribed) the drug exposure. 
omop,v5.1,drug_exposure,quantity,No,,,,The quantity of drug as recorded in the original prescription or dispensing record. 
omop,v5.1,drug_exposure,refills,No,,,,"The number of refills after the initial prescription. The initial prescription is not counted, values start with 0. "
omop,v5.1,drug_exposure,route_concept_id,No,concept,concept_id,,A foreign key to a predefined concept in the Standardized Vocabularies reflecting the route of administration. 
omop,v5.1,drug_exposure,route_source_value,No,,,,The information about the route of administration as detailed in the source. 
omop,v5.1,drug_exposure,sig,No,,,,"The directions (""signetur"") on the drug prescription as recorded in the original prescription (and printed on the container) or dispensing record. "
omop,v5.1,drug_exposure,stop_reason,No,,,,"The reason the medication was stopped, where available. Reasons include regimen completed, changed, removed, etc. "
omop,v5.1,drug_exposure,visit_occurrence_id,No,visit_occurrence,visit_occurrence_id,,A foreign key to the visit in the visit table during which the drug exposure initiated. 
