model,version,table,field,type,length,precision,scale,default
omop,v5.1,cost,currency_concept_id,integer,,,,
omop,v5.1,cost,paid_by_payer,integer,,,,
omop,v5.1,cost,paid_by_patient,integer,,,,
omop,v5.1,cost,paid_by_primary,integer,,,,
omop,v5.1,cost,paid_patient_coinsurance,integer,,,,
omop,v5.1,cost,paid_patient_copay,integer,,,,
omop,v5.1,cost,paid_ingredient_cost,integer,,,,
omop,v5.1,cost,paid_patient_deductible,integer,,,,
omop,v5.1,cost,paid_dispensing_fee,integer,,,,
omop,v5.1,cost,payer_plan_period_id,integer,,,,
omop,v5.1,cost,total_paid,integer,,,,
omop,v5.1,cost,total_charge,integer,,,,
omop,v5.1,cost,total_cost,integer,,,,
omop,v5.1,cost,cost_id,integer,,,,
omop,v5.1,cost,cost_event_id,integer,,,,
omop,v5.1,cost,cost_domain_id,integer,,,,
omop,v5.1,cost,cost_type_concept_id,integer,,,,
omop,v5.1,cost,amount_allowed,integer,,,,
omop,v5.1,cost,revenue_code_concept_id,integer,,,,
omop,v5.1,cost,drg_concept_id,integer,,,,
omop,v5.1,cost,revenue_code_source_value,string,50,,,
omop,v5.1,cost,drg_source_value,integer,,,,
