model,version,table,field,type,length,precision,scale,default
omop,v5.1,measurement,measurement_source_concept_id,integer,,,,
omop,v5.1,measurement,measurement_concept_id,integer,,,,
omop,v5.1,measurement,measurement_date,date,,,,
omop,v5.1,measurement,measurement_date,datetime,,,,
omop,v5.1,measurement,measurement_id,integer,,,,
omop,v5.1,measurement,measurement_source_value,string,50,,,
omop,v5.1,measurement,measurement_time,string,10,,,
omop,v5.1,measurement,measurement_type_concept_id,integer,,,,
omop,v5.1,measurement,operator_concept_id,integer,,,,
omop,v5.1,measurement,person_id,integer,,,,
omop,v5.1,measurement,provider_id,integer,,,,
omop,v5.1,measurement,range_high,number,,,,
omop,v5.1,measurement,range_low,number,,,,
omop,v5.1,measurement,unit_concept_id,integer,,,,
omop,v5.1,measurement,unit_source_value,string,50,,,
omop,v5.1,measurement,value_as_concept_id,integer,,,,
omop,v5.1,measurement,value_as_number,number,,,,
omop,v5.1,measurement,value_source_value,string,50,,,
omop,v5.1,measurement,visit_occurrence_id,integer,,,,
