model,version,table,field,type,length,precision,scale,default
omop,v5.1,note,note_date,date,,,,
omop,v5.1,note,note_id,integer,,,,
omop,v5.1,note,note_text,clob,,,,
omop,v5.1,note,note_datetime,datetime,,,,
omop,v5.1,note,note_type_concept_id,integer,,,,
omop,v5.1,note,person_id,integer,,,,
omop,v5.1,note,provider_id,integer,,,,
omop,v5.1,note,visit_occurrence_id,integer,,,,
omop,v5.1,note,language_concept_id,integer,,,,
omop,v5.1,note,encoding_concept_id,integer,,,,
omop,v5.1,note,note_class_concept_id,integer,,,,
omop,v5.1,note,note_title,string,250,,,
