model,version,type,name,table,field
omop,v5.4,primary key,xpk_care_site,care_site,care_site_id
omop,v5.4,primary key,xpk_concept,concept,concept_id
omop,v5.4,primary key,xpk_concept_class,concept_class,concept_class_id
omop,v5.4,primary key,xpk_condition_era,condition_era,condition_era_id
omop,v5.4,primary key,xpk_condition_occurrence,condition_occurrence,condition_occurrence_id
omop,v5.4,primary key,xpk_cost,cost,cost_id
omop,v5.4,primary key,xpk_device_exposure,device_exposure,device_exposure_id
omop,v5.4,primary key,xpk_domain,domain,domain_id
omop,v5.4,primary key,xpk_dose_era,dose_era,dose_era_id
omop,v5.4,primary key,xpk_drug_era,drug_era,drug_era_id
omop,v5.4,primary key,xpk_drug_exposure,drug_exposure,drug_exposure_id
omop,v5.4,primary key,xpk_episode,episode,episode_id
omop,v5.4,primary key,xpk_location,location,location_id
omop,v5.4,primary key,xpk_measurement,measurement,measurement_id
omop,v5.4,primary key,xpk_metadata,metadata,metadata_id
omop,v5.4,primary key,xpk_note,note,note_id
omop,v5.4,primary key,xpk_note_nlp,note_nlp,note_nlp_id
omop,v5.4,primary key,xpk_observation,observation,observation_id
omop,v5.4,primary key,xpk_observation_period,observation_period,observation_period_id
omop,v5.4,primary key,xpk_payer_plan_period,payer_plan_period,payer_plan_period_id
omop,v5.4,primary key,xpk_person,person,person_id
omop,v5.4,primary key,xpk_procedure_occurrence,procedure_occurrence,procedure_occurrence_id
omop,v5.4,primary key,xpk_provider,provider,provider_id
omop,v5.4,primary key,xpk_relationship,relationship,relationship_id
omop,v5.4,primary key,xpk_specimen,specimen,specimen_id
omop,v5.4,primary key,xpk_visit_detail,visit_detail,visit_detail_id
omop,v5.4,primary key,xpk_visit_occurrence,visit_occurrence,visit_occurrence_id
omop,v5.4,primary key,xpk_vocabulary,vocabulary,vocabulary_id
