model,version,table,field,required,ref_table,ref_field,standard,description
omop,v5.4,device_exposure,device_concept_id,Yes,concept,concept_id,,Only the DI portion of the UDI would be captured as a Concept in the Standardized Vocabularies. 
omop,v5.4,device_exposure,device_exposure_end_date,No,,,,The date the device or supply was removed from use. 
omop,v5.4,device_exposure,device_exposure_end_datetime,No,,,,The date and time the Device or supply was removed from use.
omop,v5.4,device_exposure,device_exposure_id,Yes,,,,A system-generated unique identifier for each device exposure. 
omop,v5.4,device_exposure,device_exposure_start_date,Yes,,,,The date the device or supply was applied or used. 
omop,v5.4,device_exposure,device_exposure_start_datetime,No,,,,The date and time the Device or supply was applied or used.
omop,v5.4,device_exposure,device_source_concept_id,No,concept,concept_id,,A foreign key to a device concept that refers to the code used in the source. 
omop,v5.4,device_exposure,device_source_value,No,,,,The source code for the device as it appears in the source data. This code is mapped to a standard device concept in the Standardized Vocabularies and the original code is stored here for reference. 
omop,v5.4,device_exposure,device_type_concept_id,Yes,concept,concept_id,,"Provenance for the data, e.g. procedure device, from registry, etc. "
omop,v5.4,device_exposure,person_id,Yes,person,person_id,,A foreign key identifier to the person who is subjected to the procedure. The demographic details of that person are stored in the person table. 
omop,v5.4,device_exposure,provider_id,No,provider,provider_id,,A foreign key to the provider in the provider table who was responsible for using the device. 
omop,v5.4,device_exposure,quantity,No,,,,The number of individual devices used for the exposure 
omop,v5.4,device_exposure,unique_device_id,No,,,,The entire UDI or equivalent. 
omop,v5.4,device_exposure,visit_occurrence_id,No,visit_occurrence,visit_occurrence_id,,A foreign key to the visit in the visit table during which the device was used. 
omop,v5.4,device_exposure,visit_detail_id,No,visit_detail,visit_detail_id,,A foreign key to the Visit Detail during which the device was prescribed or given.
omop,v5.4,device_exposure,production_id,No,,,,This is the Production Identifier (UDI-PI) portion of the Unique Device Identification.
omop,v5.4,device_exposure,unit_concept_id,No,concept,concept_id,,UNIT_SOURCE_VALUES should be mapped to a Standard Concept in the Unit domain that best represents the unit as given in the source data.
omop,v5.4,device_exposure,unit_source_value,No,,,,This field houses the verbatim value from the source data representing the unit of the Device. For example, blood transfusions are considered devices and can be given in mL quantities.
omop,v5.4,device_exposure,unit_source_concept_id,No,concept,concept_id,,This is the concept representing the UNIT_SOURCE_VALUE and may not necessarily be standard. This field is discouraged from use in analysis because it is not required to contain Standard Concepts that are used across the OHDSI community, and should only be used when Standard Concepts do not adequately represent the source detail for the Unit necessary for a given analytic use case. Consider using UNIT_CONCEPT_ID instead to enable standardized analytics that can be consistent across the network.
