model,version,table,field,required,ref_table,ref_field,standard,description
omop,v5.4,note_nlp,note_nlp_id,Yes,,,,A unique identifier for the NLP record.
omop,v5.4,note_nlp,note_id,Yes,note,note_id,,This is the NOTE_ID for the NOTE record the NLP record is associated to. 
omop,v5.4,note_nlp,section_concept_id,No,concept,concept_id,,The SECTION_CONCEPT_ID should be used to represent the note section contained in the NOTE_NLP record
omop,v5.4,note_nlp,snippet,No,,,,A small window of text surrounding the term
omop,v5.4,note_nlp,offset,No,,,,Character offset of the extracted term in the input note
omop,v5.4,note_nlp,lexical_variant,Yes,,,,Raw text extracted from the NLP tool.
omop,v5.4,note_nlp,note_nlp_concept_id,No,concept,concept_id,, 
omop,v5.4,note_nlp,note_nlp_source_concept_id,No,concept,concept_id,,
omop,v5.4,note_nlp,nlp_system,No,,,,Name and version of the NLP system that extracted the term. Useful for data provenance.
omop,v5.4,note_nlp,nlp_date,Yes,,,,The date of the note processing.
omop,v5.4,note_nlp,nlp_datetime,No,,,,The date and time of the note processing.	
omop,v5.4,note_nlp,term_exists,No,,,,Term_exists is defined as a flag that indicates if the patient actually has or had the condition
omop,v5.4,note_nlp,term_temporal,No,,,,Term_temporal is to indicate if a condition is present or just in the past.
omop,v5.4,note_nlp,term_modifiers,No,,,,
