model,version,table,field,required,ref_table,ref_field,standard,description
omop,v5.4,payer_plan_period,family_source_value,No,,,,The source code for the person's family as it appears in the source data. 
omop,v5.4,payer_plan_period,payer_plan_period_end_date,Yes,,,,The end date of the payer plan period. 
omop,v5.4,payer_plan_period,payer_plan_period_id,Yes,,,,"An identifier for each unique combination of payer, plan, family code and time span."
omop,v5.4,payer_plan_period,payer_plan_period_start_date,Yes,,,,The start date of the payer plan period. 
omop,v5.4,payer_plan_period,payer_source_value,No,,,,The source code for the payer as it appears in the source data. 
omop,v5.4,payer_plan_period,person_id,Yes,person,person_id,,A foreign key identifier to the person covered by the payer. The demographic details of that person are stored in the person table. 
omop,v5.4,payer_plan_period,plan_source_value,No,,,,The source code for the person's coverage plan as it appears in the source data. 
omop,v5.4,payer_plan_period,payer_concept_id,No,concept,concept_id,,This field represents the organization who reimburses the provider which administers care to the Person.
omop,v5.4,payer_plan_period,payer_source_concept_id,No,concept,concept_id,,If the source data codes the Payer in an OMOP supported vocabulary store the concept_id here.
omop,v5.4,payer_plan_period,plan_concept_id,No,concept,concept_id,,This field represents the specific health benefit Plan the Person is enrolled in.
omop,v5.4,payer_plan_period,plan_source_concept_id,No,concept,concept_id,,If the source data codes the Plan in an OMOP supported vocabulary store the concept_id here.
omop,v5.4,payer_plan_period,sponsor_concept_id,No,concept,concept_id,,	This field represents the sponsor of the Plan who finances the Plan. This includes self-insured, small group health plan and large group health plan.
omop,v5.4,payer_plan_period,sponsor_source_concept_id,No,concept,concept_id,,If the source data codes the sponsor in an OMOP supported vocabulary store the concept_id here.
omop,v5.4,payer_plan_period,sponsor_source_value,No,,,,The Plan sponsor as it appears in the source data.
omop,v5.4,payer_plan_period,stop_reason_concept_id,No,concept,concept_id,,This field represents the reason the Person left the Plan, if known.
omop,v5.4,payer_plan_period,stop_reason_source_concept_id,No,concept,concept_id,,If the source data codes the stop reason in an OMOP supported vocabulary store the concept_id here.
omop,v5.4,payer_plan_period,stop_reason_source_value,No,,,,The Plan stop reason as it appears in the source data.
