model,version,name,unique,table,field,order
omop,v5.4,idx_person_id,Yes,person,person_id,asc
omop,v5.4,idx_gender,No,person,gender_concept_id,asc
omop,v5.4,idx_observation_period_id_1,No,observation_period,person_id,asc
omop,v5.4,idx_visit_person_id_1,No,visit_occurrence,person_id,asc
omop,v5.4,idx_visit_concept_id_1,No,visit_occurrence,visit_concept_id,asc
omop,v5.4,idx_visit_det_person_id_1,No,visit_detail,person_id,asc
omop,v5.4,idx_visit_det_concept_id_1,No,visit_detail,visit_detail_concept_id,asc
omop,v5.4,idx_visit_det_occ_id,No,visit_detail,visit_occurrence_id,asc
omop,v5.4,idx_condition_person_id_1,No,condition_occurrence,person_id,asc
omop,v5.4,idx_condition_concept_id_1,No,condition_occurrence,condition_concept_id,asc
omop,v5.4,idx_condition_visit_id_1,No,condition_occurrence,visit_occurrence_id,asc
omop,v5.4,idx_drug_person_id_1,No,drug_exposure,person_id,asc
omop,v5.4,idx_drug_concept_id_1,No,drug_exposure,drug_concept_id,asc
omop,v5.4,idx_drug_visit_id_1,No,drug_exposure,visit_occurrence_id,asc
omop,v5.4,idx_procedure_person_id_1,No,procedure_occurrence,person_id,asc
omop,v5.4,idx_procedure_concept_id_1,No,procedure_occurrence,procedure_concept_id,asc
omop,v5.4,idx_procedure_visit_id_1,No,procedure_occurrence,visit_occurrence_id,asc
omop,v5.4,idx_device_person_id_1,No,device_exposure,person_id,asc
omop,v5.4,idx_device_concept_id_1,No,device_exposure,device_concept_id,asc
omop,v5.4,idx_device_visit_id_1,No,device_exposure,visit_occurrence_id,asc
omop,v5.4,idx_measurement_person_id_1,No,measurement,person_id,asc
omop,v5.4,idx_measurement_concept_id_1,No,measurement,measurement_concept_id,asc
omop,v5.4,idx_measurement_visit_id_1,No,measurement,visit_occurrence_id,asc
omop,v5.4,idx_observation_person_id_1,No,observation,person_id,asc
omop,v5.4,idx_observation_concept_id_1,No,observation,observation_concept_id,asc
omop,v5.4,idx_observation_visit_id_1,No,observation,visit_occurrence_id,asc
omop,v5.4,idx_death_person_id_1,No,death,person_id,asc
omop,v5.4,idx_note_person_id_1,No,note,person_id,asc
omop,v5.4,idx_note_concept_id_1,No,note,note_type_concept_id,asc
omop,v5.4,idx_note_visit_id_1,No,note,visit_occurrence_id,asc
omop,v5.4,idx_note_nlp_note_id_1,No,note_nlp,note_id,asc
omop,v5.4,idx_note_nlp_concept_id_1,No,note_nlp,note_nlp_concept_id,asc
omop,v5.4,idx_specimen_person_id_1,No,specimen,person_id,asc
omop,v5.4,idx_specimen_concept_id_1,No,specimen,specimen_concept_id,asc
omop,v5.4,idx_fact_relationship_id1,No,fact_relationship,domain_concept_id_1,asc
omop,v5.4,idx_fact_relationship_id2,No,fact_relationship,domain_concept_id_2,asc
omop,v5.4,idx_fact_relationship_id3,No,fact_relationship,relationship_concept_id,asc
omop,v5.4,idx_location_id_1,Yes,location,location_id,asc
omop,v5.4,idx_care_site_id_1,Yes,care_site,care_site_id,asc
omop,v5.4,idx_provider_id_1,Yes,provider,provider_id,asc
omop,v5.4,idx_period_person_id_1,No,payer_plan_period,person_id,asc
omop,v5.4,idx_cost_event_id,No,cost,cost_event_id,asc
omop,v5.4,idx_drug_era_person_id_1,No,drug_era,person_id,asc
omop,v5.4,idx_drug_era_concept_id_1,No,drug_era,drug_concept_id,asc
omop,v5.4,idx_dose_era_person_id_1,No,dose_era,person_id,asc
omop,v5.4,idx_dose_era_concept_id_1,No,dose_era,drug_concept_id,asc
omop,v5.4,idx_condition_era_person_id_1,No,condition_era,person_id,asc
omop,v5.4,idx_condition_era_concept_id_1,No,condition_era,condition_concept_id,asc
omop,v5.4,idx_metadata_concept_id_1,No,metadata,metadata_concept_id,asc
omop,v5.4,idx_concept_concept_id,Yes,concept,concept_id,asc
omop,v5.4,idx_concept_code,No,concept,concept_code,asc
omop,v5.4,idx_concept_vocabluary_id,No,concept,vocabulary_id,asc
omop,v5.4,idx_concept_domain_id,No,concept,domain_id,asc
omop,v5.4,idx_concept_class_id,No,concept,concept_class_id,asc
omop,v5.4,idx_vocabulary_vocabulary_id,Yes,vocabulary,vocabulary_id,asc
omop,v5.4,idx_domain_domain_id,Yes,domain,domain_id,asc
omop,v5.4,idx_concept_class_class_id,Yes,concept_class,concept_class_id,asc
omop,v5.4,idx_concept_relationship_id_1,No,concept_relationship,concept_id_1,asc
omop,v5.4,idx_concept_relationship_id_2,No,concept_relationship,concept_id_2,asc
omop,v5.4,idx_concept_relationship_id_3,No,concept_relationship,relationship_id,asc
omop,v5.4,idx_relationship_rel_id,Yes,relationship,relationship_id,asc
omop,v5.4,idx_concept_synonym_id,No,concept_synonym,concept_id,asc
omop,v5.4,idx_concept_ancestor_id_1,No,concept_ancestor,ancestor_concept_id,asc
omop,v5.4,idx_concept_ancestor_id_2,No,concept_ancestor,descendant_concept_id,asc
omop,v5.4,idx_source_to_concept_map_3,No,source_to_concept_map,target_concept_id,asc
omop,v5.4,idx_source_to_concept_map_1,No,source_to_concept_map,source_vocabulary_id,asc
omop,v5.4,idx_source_to_concept_map_2,No,source_to_concept_map,target_vocabulary_id,asc
omop,v5.4,idx_source_to_concept_map_c,No,source_to_concept_map,source_code,asc
omop,v5.4,idx_drug_strength_id_1,No,drug_strength,drug_concept_id,asc
omop,v5.4,idx_drug_strength_id_2,No,drug_strength,ingredient_concept_id,asc
