model,version,table,field,ref_table,ref_field,name
omop,v5.4,care_site,location_id,location,location_id,fpk_care_site_location
omop,v5.4,care_site,place_of_service_concept_id,concept,concept_id,fpk_care_site_place
omop,v5.4,cohort,cohort_definition_id,cohort_definition,cohort_definition_id,fpk_cohort_definition
omop,v5.4,cohort_definition,definition_type_concept_id,concept,concept_id,fpk_cohort_definition_concept
omop,v5.4,cohort_definition,subject_concept_id,concept,concept_id,fpk_cohort_definition_subject
omop,v5.4,concept,concept_class_id,concept_class,concept_class_id,fpk_concept_class
omop,v5.4,concept,domain_id,domain,domain_id,fpk_concept_domain
omop,v5.4,concept,vocabulary_id,vocabulary,vocabulary_id,fpk_concept_vocabulary
omop,v5.4,concept_ancestor,ancestor_concept_id,concept,concept_id,fpk_concept_ancestor_concept_1
omop,v5.4,concept_ancestor,descendant_concept_id,concept,concept_id,fpk_concept_ancestor_concept_2
omop,v5.4,concept_class,concept_class_concept_id,concept,concept_id,fpk_concept_class_concept
omop,v5.4,concept_relationship,concept_id_1,concept,concept_id,fpk_concept_relationship_c_1
omop,v5.4,concept_relationship,concept_id_2,concept,concept_id,fpk_concept_relationship_c_2
omop,v5.4,concept_relationship,relationship_id,relationship,relationship_id,fpk_concept_relationship_id
omop,v5.4,concept_synonym,concept_id,concept,concept_id,fpk_concept_synonym_concept
omop,v5.4,concept_synonym,language_concept_id,concept,concept_id,fpk_concept_synonym_language
omop,v5.4,condition_era,condition_concept_id,concept,concept_id,fpk_condition_era_concept
omop,v5.4,condition_era,person_id,person,person_id,fpk_condition_era_person
omop,v5.4,condition_occurrence,condition_concept_id,concept,concept_id,fpk_condition_concept
omop,v5.4,condition_occurrence,condition_source_concept_id,concept,concept_id,fpk_condition_concept_s
omop,v5.4,condition_occurrence,condition_type_concept_id,concept,concept_id,fpk_condition_type_concept
omop,v5.4,condition_occurrence,condition_status_concept_id,concept,concept_id,fpk_condition_status_concept
omop,v5.4,condition_occurrence,person_id,person,person_id,fpk_condition_person
omop,v5.4,condition_occurrence,provider_id,provider,provider_id,fpk_condition_provider
omop,v5.4,condition_occurrence,visit_occurrence_id,visit_occurrence,visit_occurrence_id,fpk_condition_visit
omop,v5.4,condition_occurrence,visit_detail_id,visit_detail,visit_detail_id,fpk_condition_visit_detail
omop,v5.4,death,cause_concept_id,concept,concept_id,fpk_death_cause_concept
omop,v5.4,death,cause_source_concept_id,concept,concept_id,fpk_death_cause_concept_s
omop,v5.4,death,death_type_concept_id,concept,concept_id,fpk_death_type_concept
omop,v5.4,death,person_id,person,person_id,fpk_death_person
omop,v5.4,device_exposure,device_concept_id,concept,concept_id,fpk_device_concept
omop,v5.4,device_exposure,device_source_concept_id,concept,concept_id,fpk_device_concept_s
omop,v5.4,device_exposure,device_type_concept_id,concept,concept_id,fpk_device_type_concept
