model,version,table,field,type,length,precision,scale,default
omop,v5.4,cost,currency_concept_id,integer,,,,
omop,v5.4,cost,paid_by_payer,number,,,,
omop,v5.4,cost,paid_by_patient,number,,,,
omop,v5.4,cost,paid_by_primary,number,,,,
omop,v5.4,cost,paid_patient_coinsurance,number,,,,
omop,v5.4,cost,paid_patient_copay,number,,,,
omop,v5.4,cost,paid_ingredient_cost,number,,,,
omop,v5.4,cost,paid_patient_deductible,number,,,,
omop,v5.4,cost,paid_dispensing_fee,number,,,,
omop,v5.4,cost,payer_plan_period_id,integer,,,,
omop,v5.4,cost,total_paid,number,,,,
omop,v5.4,cost,total_charge,number,,,,
omop,v5.4,cost,total_cost,number,,,,
omop,v5.4,cost,cost_id,integer,,,,
omop,v5.4,cost,cost_event_id,integer,,,,
omop,v5.4,cost,cost_domain_id,string,20,,,
omop,v5.4,cost,cost_type_concept_id,integer,,,,
omop,v5.4,cost,amount_allowed,number,,,,
omop,v5.4,cost,revenue_code_concept_id,integer,,,,
omop,v5.4,cost,drg_concept_id,integer,,,,
omop,v5.4,cost,revenue_code_source_value,string,50,,,
omop,v5.4,cost,drg_source_value,string,3,,,
