model,version,table,field,type,length,precision,scale,default
omop,v5.4,episode,episode_id,integer,,,,
omop,v5.4,episode,person_id,integer,,,,
omop,v5.4,episode,episode_concept_id,integer,,,,
omop,v5.4,episode,episode_start_date,date,,,,
omop,v5.4,episode,episode_start_datetime,datetime,,,,
omop,v5.4,episode,episode_end_date,date,,,,
omop,v5.4,episode,episode_end_datetime,datetime,,,,
omop,v5.4,episode,episode_parent_id,integer,,,,
omop,v5.4,episode,episode_number,integer,,,,
omop,v5.4,episode,episode_object_concept_id,integer,,,,
omop,v5.4,episode,episode_type_concept_id,integer,,,,
omop,v5.4,episode,episode_source_value,string,50,,,
omop,v5.4,episode,episode_source_concept_id,integer,,,,
