Table,Field,Required,Ref Table,Ref Field,Type Precision,Standard,Description
concept,concept_class_id,Yes,,,varchar(20),,"The category or class of the concept along both the hierarchical tree as well as different domains within a vocabulary. Examples are “Clinical Drug”, “Ingredient”, “Clinical Finding” etc. "
concept,concept_code,Yes,,,varchar(50),,"The concept code represents the identifier of the concept in the source data it originates from, such as SNOMED-CT concept IDs, RxNorm RXCUIs etc. Note that concept codes are not unique across vocabularies. "
concept,concept_id,Yes,,,integer,,A unique identifier for each concept across all domains. 
concept,concept_level,Yes,,,integer,,"The level of hierarchy associated with the concept. Different concept levels are assigned to concepts to depict their seniority in a clearly defined hierarchy, such as drugs, conditions, etc. A concept level of 0 is assigned to concepts that are not part of a standard vocabulary, but are part of the vocabulary for reference purposes (e.g. drug form). "
concept,concept_name,Yes,,,varchar(255),,"An unambiguous, meaningful and descriptive name for the concept. "
concept,domain_id,Yes,domain,domain_id,varchar(20),,The domain a concept belongs to. 
concept,invalid_reason,No,,,varchar(1),,"Reason the concept was invalidated. Possible values are D (deleted), U (replaced with an update) or NULL when valid_end_date has the default value. "
concept,standard_concept,No,,,varchar(1),,"This flag determines where a concept is a Standard Concept, i.e. is used in the data, a class concept, or a non-standard concept. The allowables values for standard_concept are: 'S' for Standard Concept, 'C' for a Class Concept, otherwise the content is null for non-standard concepts, including source concepts. Standard Concepts (S) may appear in CDM tables in CONCEPT_ID fields, whereas Class concepts (C) should not appear in the CDM data, but participate in the CONCEPT_ANCESTOR and can be used to identify descendants that may appear in the data. Non-standard concepts can only appear in SOURCE_CONCEPT_ID fields and are not used in CONCEPT_ANCESTOR. "
concept,valid_end_date,Yes,,,date,,The date when the concept became invalid because it was deleted or superseded (updated) by a new concept. The default value is 31-Dec-2099. 
concept,valid_start_date,Yes,,,date,,The date when the concept was first recorded. 
concept,vocabulary_id,Yes,vocabulary,vocabulary_id,varchar(20),,A foreign key to the vocabulary table indicating from which source the concept has been adapted. 
