model,version,type,name,table,field
omop,v5,not null,,concept,concept_name
omop,v5,not null,,concept,domain_id
omop,v5,not null,,concept,vocabulary_id
omop,v5,not null,,concept,concept_class_id
omop,v5,not null,,concept,concept_code
omop,v5,not null,,concept,valid_start_date
omop,v5,not null,,concept,valid_end_date
omop,v5,not null,,vocabulary,vocabulary_name
omop,v5,not null,,vocabulary,vocabulary_concept_id
omop,v5,not null,,domain,domain_name
omop,v5,not null,,domain,domain_concept_id
omop,v5,not null,,concept_class,concept_class_name
omop,v5,not null,,concept_class,concept_class_concept_id
omop,v5,not null,,concept_relationship,concept_id_1
omop,v5,not null,,concept_relationship,concept_id_2
omop,v5,not null,,concept_relationship,relationship_id
omop,v5,not null,,concept_relationship,valid_start_date
omop,v5,not null,,concept_relationship,valid_end_date
omop,v5,not null,,relationship,relationship_name
omop,v5,not null,,relationship,is_hierarchical
omop,v5,not null,,relationship,defines_ancestry
omop,v5,not null,,relationship,reverse_relationship_id
omop,v5,not null,,relationship,relationship_concept_id
omop,v5,not null,,concept_synonym,concept_id
omop,v5,not null,,concept_synonym,concept_synonym_name
omop,v5,not null,,concept_synonym,language_concept_id
omop,v5,not null,,concept_ancestor,ancestor_concept_id
omop,v5,not null,,concept_ancestor,descendant_concept_id
omop,v5,not null,,concept_ancestor,min_levels_of_separation
omop,v5,not null,,concept_ancestor,max_levels_of_separation
omop,v5,not null,,source_to_concept_map,source_code
omop,v5,not null,,source_to_concept_map,source_concept_id
omop,v5,not null,,source_to_concept_map,source_vocabulary_id
omop,v5,not null,,source_to_concept_map,target_concept_id
omop,v5,not null,,source_to_concept_map,target_vocabulary_id
omop,v5,not null,,source_to_concept_map,valid_start_date
omop,v5,not null,,source_to_concept_map,valid_end_date
omop,v5,not null,,drug_strength,drug_concept_id
omop,v5,not null,,drug_strength,ingredient_concept_id
omop,v5,not null,,drug_strength,valid_start_date
omop,v5,not null,,drug_strength,valid_end_date
omop,v5,not null,,cohort_definition,cohort_definition_name
omop,v5,not null,,cohort_definition,definition_type_concept_id
omop,v5,not null,,cohort_definition,subject_concept_id
omop,v5,not null,,attribute_definition,attribute_name
omop,v5,not null,,attribute_definition,attribute_type_concept_id
omop,v5,not null,,cdm_source,cdm_source_name
omop,v5,not null,,person,gender_concept_id
omop,v5,not null,,person,year_of_birth
omop,v5,not null,,person,race_concept_id
omop,v5,not null,,person,ethnicity_concept_id
omop,v5,not null,,observation_period,person_id
omop,v5,not null,,observation_period,observation_period_start_date
omop,v5,not null,,observation_period,observation_period_end_date
omop,v5,not null,,observation_period,period_type_concept_id
omop,v5,not null,,specimen,person_id
omop,v5,not null,,specimen,specimen_concept_id
omop,v5,not null,,specimen,specimen_type_concept_id
omop,v5,not null,,specimen,specimen_date
omop,v5,not null,,death,person_id
omop,v5,not null,,death,death_date
omop,v5,not null,,death,death_type_concept_id
omop,v5,not null,,visit_occurrence,person_id
omop,v5,not null,,visit_occurrence,visit_concept_id
omop,v5,not null,,visit_occurrence,visit_start_date
omop,v5,not null,,visit_occurrence,visit_end_date
omop,v5,not null,,visit_occurrence,visit_type_concept_id
omop,v5,not null,,procedure_occurrence,person_id
omop,v5,not null,,procedure_occurrence,procedure_concept_id
omop,v5,not null,,procedure_occurrence,procedure_date
omop,v5,not null,,procedure_occurrence,procedure_type_concept_id
omop,v5,not null,,drug_exposure,person_id
omop,v5,not null,,drug_exposure,drug_concept_id
omop,v5,not null,,drug_exposure,drug_exposure_start_date
omop,v5,not null,,drug_exposure,drug_type_concept_id
omop,v5,not null,,device_exposure,person_id
omop,v5,not null,,device_exposure,device_concept_id
omop,v5,not null,,device_exposure,device_exposure_start_date
omop,v5,not null,,device_exposure,device_type_concept_id
omop,v5,not null,,condition_occurrence,person_id
omop,v5,not null,,condition_occurrence,condition_concept_id
omop,v5,not null,,condition_occurrence,condition_start_date
omop,v5,not null,,condition_occurrence,condition_type_concept_id
omop,v5,not null,,measurement,person_id
omop,v5,not null,,measurement,measurement_concept_id
omop,v5,not null,,measurement,measurement_date
omop,v5,not null,,measurement,measure_type_concept_id
omop,v5,not null,,note,person_id
omop,v5,not null,,note,note_date
omop,v5,not null,,note,note_type_concept_id
omop,v5,not null,,note,note_text
omop,v5,not null,,observation,person_id
omop,v5,not null,,observation,observation_concept_id
omop,v5,not null,,observation,observation_date
omop,v5,not null,,observation,observation_type_concept_id
omop,v5,not null,,fact_relationship,domain_concept_id_1
omop,v5,not null,,fact_relationship,fact_id_1
omop,v5,not null,,fact_relationship,domain_concept_id_2
omop,v5,not null,,fact_relationship,fact_id_2
omop,v5,not null,,fact_relationship,relationship_concept_id
omop,v5,not null,,payer_plan_period,person_id
omop,v5,not null,,payer_plan_period,payer_plan_period_start_date
omop,v5,not null,,payer_plan_period,payer_plan_period_end_date
omop,v5,not null,,visit_cost,visit_occurrence_id
omop,v5,not null,,procedure_cost,procedure_occurrence_id
omop,v5,not null,,drug_cost,drug_exposure_id
omop,v5,not null,,device_cost,device_exposure_id
omop,v5,not null,,cohort,cohort_definition_id
omop,v5,not null,,cohort,subject_id
omop,v5,not null,,cohort,cohort_start_date
omop,v5,not null,,cohort,cohort_end_date
omop,v5,not null,,cohort_attribute,cohort_definition_id
omop,v5,not null,,cohort_attribute,cohort_start_date
omop,v5,not null,,cohort_attribute,cohort_end_date
omop,v5,not null,,cohort_attribute,subject_id
omop,v5,not null,,cohort_attribute,attribute_definition_id
omop,v5,not null,,drug_era,person_id
omop,v5,not null,,drug_era,drug_concept_id
omop,v5,not null,,drug_era,drug_era_start_date
omop,v5,not null,,drug_era,drug_era_end_date
omop,v5,not null,,dose_era,person_id
omop,v5,not null,,dose_era,drug_concept_id
omop,v5,not null,,dose_era,unit_concept_id
omop,v5,not null,,dose_era,dose_value
omop,v5,not null,,dose_era,dose_era_start_date
omop,v5,not null,,dose_era,dose_era_end_date
omop,v5,not null,,condition_era,person_id
