model,version,table,field,type,length,precision,scale,default
omop,v5,device_exposure,device_concept_id,integer,,,,
omop,v5,device_exposure,device_exposure_end_date,date,,,,
omop,v5,device_exposure,device_exposure_id,integer,,,,
omop,v5,device_exposure,device_exposure_start_date,date,,,,
omop,v5,device_exposure,device_source_concept_id,integer,,,,
omop,v5,device_exposure,device_source_value,string,100,,,
omop,v5,device_exposure,device_type_concept_id,integer,,,,
omop,v5,device_exposure,person_id,integer,,,,
omop,v5,device_exposure,provider_id,integer,,,,
omop,v5,device_exposure,quantity,integer,,,,
omop,v5,device_exposure,unique_device_id,string,50,,,
omop,v5,device_exposure,visit_occurrence_id,integer,,,,
