Table,Field,Required,Ref Table,Ref Field,Type Precision,Standard,Description
drug_exposure,days_supply,No,,,integer,,The number of days of supply of the medication as recorded in the original prescription or dispensing record. 
drug_exposure,dose_unit_concept_id,No,concept,concept_id,integer,,A foreign key to a predefined concept in the Standardized Vocabularies reflecting the unit the effective_drug_dose value is expressed. 
drug_exposure,dose_unit_source_value,No,,,varchar(50),,The information about the dose unit as detailed in the source. 
drug_exposure,drug_concept_id,Yes,concept,concept_id,integer,RxNorm,A foreign key that refers to a standard concept identifier in the vocabulary for the drug concept. 
drug_exposure,drug_exposure_end_date,No,,,date,,The end date for the current instance of drug utilization. It is not available from all sources. 
drug_exposure,drug_exposure_id,Yes,,,integer,,A system-generated unique identifier for each drug utilization event. 
drug_exposure,drug_exposure_start_date,Yes,,,date,,"The start date for the current instance of drug utilization. Valid entries include a start date of a prescription, the date a prescription was filled, or the date on which a drug administration procedure was recorded. "
drug_exposure,drug_source_concept_id,No,concept,concept_id,integer,,A foreign key to a drug concept that refers to the code used in the source. 
drug_exposure,drug_source_value,No,,,varchar(50),,"The source code for the drug as it appears in the source data. This code is mapped to a standard drug concept in the vocabulary and the original code is, stored here for reference. "
drug_exposure,drug_type_concept_id,Yes,concept,concept_id,integer,OMOP,"A foreign key to the predefined concept identifier in the vocabulary reflecting the type of drug exposure recorded. It indicates how the drug exposure was represented in the source data: as medication history, filled prescriptions, etc. "
drug_exposure,effective_drug_dose,No,,,float,,Numerical value of drug dose for this drug_exposure record. 
drug_exposure,lot_number,No,,,varchar(50),,An identifier to determine where the product originated 
drug_exposure,person_id,Yes,person,person_id,integer,,A foreign key identifier to the person who is subjected to the drug. The demographic details of that person are stored in the person table. 
drug_exposure,provider_id,No,provider,provider_id,integer,,A foreign key to the provider in the provider table who initiated (prescribed) the drug exposure. 
drug_exposure,quantity,No,,,float,,The quantity of drug as recorded in the original prescription or dispensing record. 
drug_exposure,refills,No,,,integer,,"The number of refills after the initial prescription. The initial prescription is not counted, values start with 0. "
drug_exposure,relevant_condition_concept_id,No,concept,concept_id,integer,SNOMED,"A foreign key to the predefined concept identifier in the vocabulary reflecting the condition that was the cause for initiation of the drug exposure. Note that this is not a direct reference to a specific condition record in the condition table, but rather a condition concept in the vocabulary. "
drug_exposure,route_concept_id,No,concept,concept_id,integer,,A foreign key to a predefined concept in the Standardized Vocabularies reflecting the route of administration. 
drug_exposure,route_source_value,No,,,varchar(50),,The information about the route of administration as detailed in the source. 
drug_exposure,sig,No,,,clob,,"The directions (""signetur"") on the drug prescription as recorded in the original prescription (and printed on the container) or dispensing record. "
drug_exposure,stop_reason,No,,,varchar(20),,"The reason the medication was stopped, where available. Reasons include regimen completed, changed, removed, etc. "
drug_exposure,visit_occurrence_id,No,visit_occurrence,visit_occurrence_id,integer,,A foreign key to the visit in the visit table during which the drug exposure initiated. 
