model,version,table,field,type,length,precision,scale,default
omop,v5,observation,observation_concept_id,integer,,,,
omop,v5,observation,observation_date,date,,,,
omop,v5,observation,observation_id,integer,,,,
omop,v5,observation,observation_source_concept_id,integer,,,,
omop,v5,observation,observation_source_value,string,50,,,
omop,v5,observation,observation_time,string,10,,,
omop,v5,observation,observation_type_concept_id,integer,,,,
omop,v5,observation,person_id,integer,,,,
omop,v5,observation,provider_id,integer,,,,
omop,v5,observation,qualifier_concept_id,integer,,,,
omop,v5,observation,qualifier_source_value,string,50,,,
omop,v5,observation,unit_concept_id,integer,,,,
omop,v5,observation,unit_source_value,string,50,,,
omop,v5,observation,value_as_concept_id,integer,,,,
omop,v5,observation,value_as_number,number,,20,5,
omop,v5,observation,value_as_string,string,60,,,
omop,v5,observation,visit_occurrence_id,integer,,,,
