model,version,table,field,type,length,precision,scale,default
omop,v5,person,care_site_id,integer,,,,
omop,v5,person,day_of_birth,integer,,,,
omop,v5,person,ethnicity_concept_id,integer,,,,
omop,v5,person,ethnicity_source_concept_id,integer,,,,
omop,v5,person,ethnicity_source_value,string,50,,,
omop,v5,person,gender_concept_id,integer,,,,
omop,v5,person,gender_source_concept_id,integer,,,,
omop,v5,person,gender_source_value,string,50,,,
omop,v5,person,location_id,integer,,,,
omop,v5,person,month_of_birth,integer,,,,
omop,v5,person,person_id,integer,,,,
omop,v5,person,person_source_value,string,50,,,
omop,v5,person,provider_id,integer,,,,
omop,v5,person,race_concept_id,integer,,,,
omop,v5,person,race_source_concept_id,integer,,,,
omop,v5,person,race_source_value,string,50,,,
omop,v5,person,time_of_birth,string,10,,,
omop,v5,person,year_of_birth,integer,,,,
