model,version,table,field,type,length,precision,scale,default
omop,v5,drug_strength,amount_unit_concept_id,integer,,,,
omop,v5,drug_strength,amount_value,float,,,,
omop,v5,drug_strength,denominator_unit_concept_id,integer,,,,
omop,v5,drug_strength,drug_concept_id,integer,,,,
omop,v5,drug_strength,ingredient_concept_id,integer,,,,
omop,v5,drug_strength,invalid_reason,string,1,,,
omop,v5,drug_strength,numerator_unit_concept_id,integer,,,,
omop,v5,drug_strength,numerator_value,float,,,,
omop,v5,drug_strength,valid_end_date,date,,,,
omop,v5,drug_strength,valid_start_date,date,,,,
