model,version,table,field,type,length,precision,scale,default
omop,v5,measurement,measurement_source_concept_id,integer,,,,
omop,v5,measurement,measurement_concept_id,integer,,,,
omop,v5,measurement,measurement_date,date,,,,
omop,v5,measurement,measurement_id,integer,,,,
omop,v5,measurement,measurement_source_value,string,50,,,
omop,v5,measurement,measurement_time,time,,,,
omop,v5,measurement,measurement_type_concept_id,integer,,,,
omop,v5,measurement,operator_concept_id,integer,,,,
omop,v5,measurement,person_id,integer,,,,
omop,v5,measurement,provider_id,integer,,,,
omop,v5,measurement,range_high,float,,,,
omop,v5,measurement,range_low,float,,,,
omop,v5,measurement,unit_concept_id,integer,,,,
omop,v5,measurement,unit_source_value,string,50,,,
omop,v5,measurement,value_as_concept_id,integer,,,,
omop,v5,measurement,value_as_number,float,,,,
omop,v5,measurement,value_source_value,string,50,,,
omop,v5,measurement,visit_occurrence_id,integer,,,,
