model,version,table,field,type,length,precision,scale,default
omop,v5,provider,care_site_id,integer,,,,
omop,v5,provider,dea,string,20,,,
omop,v5,provider,gender_concept_id,integer,,,,
omop,v5,provider,gender_source_concept_id,integer,,,,
omop,v5,provider,gender_source_value,string,50,,,
omop,v5,provider,npi,string,20,,,
omop,v5,provider,provider_id,integer,,,,
omop,v5,provider,provider_name,string,255,,,
omop,v5,provider,provider_source_value,string,50,,,
omop,v5,provider,specialty_concept_id,integer,,,,
omop,v5,provider,specialty_source_concept_id,integer,,,,
omop,v5,provider,specialty_source_value,string,50,,,
omop,v5,provider,year_of_birth,integer,,,,
