Table,Field,Required,Ref Table,Ref Field,Type Precision,Standard,Description
specimen,anatomic_site_concept_id,No,concept,concept_id,integer,,A foreign key to a standard concept identifier for the anatomic location of specimen collection. 
specimen,anatomic_site_source_value,No,,,varchar(50),,The information about the anatomic site as detailed in the source. 
specimen,disease_status_concept_id,No,concept,concept_id,integer,,A foreign key to a standard concept identifier for the disease status of specimen collection. 
specimen,disease_status_source_value,No,,,varchar(50),,The information about the disease status as detailed in the source. 
specimen,person_id,Yes,person,person_id,integer,,A foreign key identifier to the person for whom the specimen is recorded. 
specimen,quantity,No,,,float,,The amount of specimen collection from the person during the sampling procedure 
specimen,specimen_concept_id,Yes,concept,concept_id,integer,,A foreign key referring to a standard concept identifier in the Standardized Vocabularies for the specimen. 
specimen,specimen_date,Yes,,,date,,The date the specimen was obtained from the person. 
specimen,specimen_id,Yes,,,integer,,A unique identifier for each specimen. 
specimen,specimen_source_id,No,,,varchar(50),,The specimen identifier as it appears in the source data. 
specimen,specimen_source_value,No,,,varchar(50),,"The specimen value as it appears in the source data. This value is mapped to a standard concept in the Standardized Vocabularies and the original code is, stored here for reference. "
specimen,specimen_time,No,,,time,,The time on the date when the specimen was obtained from the person. 
specimen,specimen_type_concept_id,Yes,concept,concept_id,integer,,A foreign key referring to the predefined concept identifier in the Standardized Vocabularies reflecting the system of record from which the specimen was represented in the source data. 
specimen,unit_concept_id,No,concept,concept_id,integer,,A foreign key to a standard concept identifier for the unit associated with the numeric quantity of the specimen collection. 
specimen,unit_source_value,No,,,varchar(50),,The information about the unit as detailed in the source. 
