model,version,table,field,type,length,precision,scale,default
omop,v5,visit_cost,currency_concept_id,integer,,,,
omop,v5,visit_cost,paid_by_coordination_benefits,number,,20,5,
omop,v5,visit_cost,paid_by_payer,number,,20,5,
omop,v5,visit_cost,paid_coinsurance,number,,20,5,
omop,v5,visit_cost,paid_copay,number,,20,5,
omop,v5,visit_cost,paid_toward_deductible,number,,20,5,
omop,v5,visit_cost,payer_plan_period_id,integer,,,,
omop,v5,visit_cost,total_out_of_pocket,number,,20,5,
omop,v5,visit_cost,total_paid,number,,20,5,
omop,v5,visit_cost,visit_cost_id,integer,,,,
omop,v5,visit_cost,visit_occurrence_id,integer,,,,
