model,version,table,field,required,ref_table,ref_field,standard,description
omop,v6.0,cost,currency_concept_id,No,concept,concept_id,,"A concept representing the 3-letter code used to delineate international currencies, such as USD for US Dollar."
omop,v6.0,cost,payer_plan_period_id,No,payer_plan_period,payer_plan_period_id,,"A foreign key to the payer_plan_period table, where the details of the payer, plan and family are stored. "
omop,v6.0,cost,cost_id,Yes,,,,A unique identifier for each procedure cost record. 
omop,v6.0,cost,cost_event_id,Yes,,,,"A foreign key identifier to the event (e.g. Measurement, Procedure, Visit, Drug Exposure, etc) record for which cost data are recorded."
omop,v6.0,cost,cost_event_field_concept_id,Yes,concept,concept_id,,"A foreign key identifier to a concept in the CONCEPT table representing the identity of the field represented by COST_EVENT_ID"
omop,v6.0,cost,cost_concept_id,Yes,concept,concept_id,,"The concept representing the domain of the cost event, from which the corresponding table can be inferred that contains the entity for which cost information is recorded."
omop,v6.0,cost,cost_type_concept_id,Yes,concept,concept_id,,"A foreign key identifier to a concept in the CONCEPT table for the provenance or the source of the COST data: Calculated from insurance claim information, provider revenue, calculated from cost-to-charge ratio, reported from accounting database, etc."
omop,v6.0,cost,cost_source_concept_id,Yes,concept,concept_id,,"A foreign key to a Cost Concept that refers to the code used in the source."
omop,v6.0,cost,cost_source_value,No,,,,"The source value for the cost as it appears in the source data"
omop,v6.0,cost,cost,No,,,,"The actual financial cost amount"
omop,v6.0,cost,incurred_date,Yes,,,,"The first date of service of the clinical event corresponding to the cost as in table capturing the information (e.g. date of visit, date of procedure, date of condition, date of drug etc)."
omop,v6.0,cost,billed_date,No,,,,"The date a bill was generated for a service or encounter."
omop,v6.0,cost,paid_date,No,,,,"The date payment was received for a service or encounter."
omop,v6.0,cost,revenue_code_concept_id,No,concept,concept_id,,A foreign key referring to a Standard Concept ID in the Standardized Vocabularies for Revenue codes.
omop,v6.0,cost,drg_concept_id,No,concept,concept_id,,A foreign key referring to a Standard Concept ID in the Standardized Vocabularies for DRG codes.
omop,v6.0,cost,revenue_code_source_value,No,,,,The source code for the Revenue code as it appears in the source data stored here for reference.
omop,v6.0,cost,drg_source_value,No,,,,The source code for the 3-digit DRG source code as it appears in the source data stored here for reference.
omop,v6.0,cost,person_id,Yes,person,person_id,,A unique identifier for each PERSON.
