model,version,table,field,required,ref_table,ref_field,standard,description
omop,v6.0,device_exposure,device_concept_id,Yes,concept,concept_id,,Only the DI portion of the UDI would be captured as a Concept in the Standardized Vocabularies. 
omop,v6.0,device_exposure,device_exposure_end_date,No,,,,The date the device or supply was removed from use. 
omop,v6.0,device_exposure,device_exposure_end_datetime,No,,,,The date and time the Device or supply was removed from use.
omop,v6.0,device_exposure,device_exposure_id,Yes,,,,A system-generated unique identifier for each device exposure. 
omop,v6.0,device_exposure,device_exposure_start_date,Yes,,,,The date the device or supply was applied or used. 
omop,v6.0,device_exposure,device_exposure_start_datetime,Yes,,,,The date and time the Device or supply was applied or used.
omop,v6.0,device_exposure,device_source_concept_id,No,concept,concept_id,,A foreign key to a device concept that refers to the code used in the source. 
omop,v6.0,device_exposure,device_source_value,No,,,,The source code for the device as it appears in the source data. This code is mapped to a standard device concept in the Standardized Vocabularies and the original code is stored here for reference. 
omop,v6.0,device_exposure,device_type_concept_id,Yes,concept,concept_id,,"Provenance for the data, e.g. procedure device, from registry, etc. "
omop,v6.0,device_exposure,person_id,Yes,person,person_id,,A foreign key identifier to the person who is subjected to the procedure. The demographic details of that person are stored in the person table. 
omop,v6.0,device_exposure,provider_id,No,provider,provider_id,,A foreign key to the provider in the provider table who was responsible for using the device. 
omop,v6.0,device_exposure,quantity,No,,,,The number of individual devices used for the exposure 
omop,v6.0,device_exposure,unique_device_id,No,,,,The entire UDI or equivalent. 
omop,v6.0,device_exposure,visit_occurrence_id,No,visit_occurrence,visit_occurrence_id,,A foreign key to the visit in the visit table during which the device was used. 
omop,v6.0,device_exposure,visit_detail_id,No,visit_detail,visit_detail_id,,A foreign key to the visit detail record in the VISIT_DETAIL table during which the Device was used.
