model,version,table,field,required,ref_table,ref_field,standard,description
omop,v6.0,person,care_site_id,No,care_site,care_site_id,,"A foreign key to the primary care site in the care site table, where the details of the care site are stored. "
omop,v6.0,person,day_of_birth,No,,,,"The day of the month of birth of the person. For data sources that provide the precise date of birth, the day is extracted and stored in this field. "
omop,v6.0,person,ethnicity_concept_id,Yes,concept,concept_id,OMB,A foreign key that refers to the standard concept identifier in the vocabulary for the ethnicity of the person. 
omop,v6.0,person,ethnicity_source_concept_id,No,concept,concept_id,,A foreign key to the ethnicity concept that refers to the code used in the source. 
omop,v6.0,person,ethnicity_source_value,No,,,,"The source code for the ethnicity of the person as it appears in the source data. The person ethnicity is mapped to a standard ethnicity concept in the vocabulary and the original code is, stored here for reference. "
omop,v6.0,person,gender_concept_id,Yes,concept,concept_id,HL7,A foreign key that refers to a standard concept identifier in the vocabulary for the gender of the person. 
omop,v6.0,person,gender_source_concept_id,No,concept,concept_id,,A foreign key to the gender concept that refers to the code used in the source. 
omop,v6.0,person,gender_source_value,No,,,,"The source code for the gender of the person as it appears in the source data. The person gender is mapped to a standard gender concept in the vocabulary and the corresponding concept identifier is, stored here for reference. "
omop,v6.0,person,location_id,No,location,location_id,,"A foreign key to the place of residency for the person in the location table, where the detailed address information is stored. "
omop,v6.0,person,month_of_birth,No,,,,"The month of birth of the person. For data sources that provide the precise date of birth, the month is extracted and stored in this field. "
omop,v6.0,person,person_id,Yes,,,,A system-generated unique identifier for each person.
omop,v6.0,person,person_source_value,No,,,,An encrypted key derived from the person identifier in the source data. This is necessary when a drug safety issue requires a link back to the person data at the source dataset. No value with any medical or demographic significance must be stored. 
omop,v6.0,person,provider_id,No,provider,provider_id,,A foreign key to the primary care provider the person is seeing in the provider table. 
omop,v6.0,person,race_concept_id,Yes,concept,concept_id,"OMB, CDC",A foreign key that refers to a standard concept identifier in the vocabulary for the race of the person. 
omop,v6.0,person,race_source_concept_id,No,concept,concept_id,,A foreign key to the race concept that refers to the code used in the source. 
omop,v6.0,person,race_source_value,No,,,,"The source code for the race of the person as it appears in the source data. The person race is mapped to a standard race concept in the vocabulary and the original code is, stored here for reference. "
omop,v6.0,person,birth_datetime,No,,,,The time of birth at the birth day 
omop,v6.0,person,year_of_birth,Yes,,,,"The year of birth of the person. For data sources with date of birth, the year is extracted. For data sources where the year of birth is not available, the approximate year of birth is derived based on any age group categorization available. "
