model,version,table,field,required,ref_table,ref_field,standard,description
omop,v6.0,visit_detail,visit_detail_id,No,,,,A unique identifier for each Person's visit or encounter at a healthcare provider.
omop,v6.0,visit_detail,person_id,Yes,person,person_id,,A foreign key identifier to the person for whom the visit is recorded. The demographic details of that person are stored in the person table. 
omop,v6.0,visit_detail,provider_id,No,provider,provider_id,,A foreign key to the provider in the provider table who was associated with the visit. 
omop,v6.0,visit_detail,visit_detail_concept_id,Yes,concept,concept_id,,A foreign key that refers to a visit Concept identifier in the Standardized Vocabularies belonging to the 'Visit' Vocabulary.
omop,v6.0,visit_detail,visit_detail_end_date,Yes,,,,The end date of the visit. If this is a one-day visit the end date should match the start date. 
omop,v6.0,visit_detail,visit_detail_end_datetime,No,,,,The time the visit ended. 
omop,v6.0,visit_detail,visit_occurrence_id,Yes,visit_occurrence,visit_occurrence_id,,A foreign key that refers to the record in the VISIT_OCCURRENCE table. This is a required field, because for every visit_detail is a child of visit_occurrence and cannot exist without a corresponding parent record in visit_occurrence.
omop,v6.0,visit_detail,visit_detail_source_concept_id,No,concept,concept_id,,A foreign key to a concept that refers to the code used in the source. 
omop,v6.0,visit_detail,visit_detail_source_value,No,,,,The source code used to reflect the type or source of the visit in the source data.
omop,v6.0,visit_detail,visit_detail_start_date,Yes,,,,The start date of the visit.
omop,v6.0,visit_detail,visit_detail_start_datetime,No,,,,The time the visit started. 
omop,v6.0,visit_detail,visit_detail_type_concept_id,Yes,concept,concept_id,,A foreign key to the predefined concept identifier in the Standardized Vocabularies reflecting the type of source data from which the visit record is derived. 
omop,v6.0,visit_detail,admitted_from_source_concept_id,No,concept,concept_id,,A foreign key to the predefined concept in the Place of Service Vocabulary reflecting the admitting source for a visit.
omop,v6.0,visit_detail,discharge_to_concept_id,No,concept,concept_id,,A foreign key to the predefined concept in the Place of Service Vocabulary reflecting the discharge disposition (destination) for a visit.
omop,v6.0,visit_detail,preceding_visit_detail_id,No,visit_detail,visit_detail_id,,A foreign key to the VISIT_DETAIL table of the visit immediately preceding this visit
omop,v6.0,visit_detail,visit_detail_parent_id,No,visit_occurrence,visit_occurrence_id,,"A foreign key to the VISIT_OCCURRENCE table record to represent the parent Visit this Visit Detail belongs to."
omop,v6.0,visit_detail,admitted_from_source_value,No,,,,The source code for the admitting source as it appears in the source data.
omop,v6.0,visit_detail,discharge_to_source_value,No,,,,The source code for the discharge disposition as it appears in the source data.
omop,v6.0,visit_detail,care_site_id,No,care_site,care_site_id,,A foreign key to the care site in the care site table that was visited.
