model,version,table,field,ref_table,ref_field,name
omop,v6.0,care_site,location_id,location,location_id,fpk_care_site_location
omop,v6.0,care_site,place_of_service_concept_id,concept,concept_id,fpk_care_site_place
omop,v6.0,cohort,cohort_definition_id,cohort_definition,cohort_definition_id,fpk_cohort_definition
omop,v6.0,cohort_definition,definition_type_concept_id,concept,concept_id,fpk_cohort_definition_concept
omop,v6.0,cohort_definition,subject_concept_id,concept,concept_id,fpk_cohort_definition_subject
omop,v6.0,concept,concept_class_id,concept_class,concept_class_id,fpk_concept_class
omop,v6.0,concept,domain_id,domain,domain_id,fpk_concept_domain
omop,v6.0,concept,vocabulary_id,vocabulary,vocabulary_id,fpk_concept_vocabulary
omop,v6.0,concept_ancestor,ancestor_concept_id,concept,concept_id,fpk_concept_ancestor_concept_1
omop,v6.0,concept_ancestor,descendant_concept_id,concept,concept_id,fpk_concept_ancestor_concept_2
omop,v6.0,concept_class,concept_class_concept_id,concept,concept_id,fpk_concept_class_concept
omop,v6.0,concept_relationship,concept_id_1,concept,concept_id,fpk_concept_relationship_c_1
omop,v6.0,concept_relationship,concept_id_2,concept,concept_id,fpk_concept_relationship_c_2
omop,v6.0,concept_relationship,relationship_id,relationship,relationship_id,fpk_concept_relationship_id
omop,v6.0,concept_synonym,concept_id,concept,concept_id,fpk_concept_synonym_concept
omop,v6.0,condition_era,condition_concept_id,concept,concept_id,fpk_condition_era_concept
omop,v6.0,condition_era,person_id,person,person_id,fpk_condition_era_person
omop,v6.0,condition_occurrence,condition_concept_id,concept,concept_id,fpk_condition_concept
omop,v6.0,condition_occurrence,condition_source_concept_id,concept,concept_id,fpk_condition_concept_s
omop,v6.0,condition_occurrence,condition_type_concept_id,concept,concept_id,fpk_condition_type_concept
omop,v6.0,condition_occurrence,condition_status_concept_id,concept,concept_id,fpk_condition_status_concept
omop,v6.0,condition_occurrence,person_id,person,person_id,fpk_condition_person
omop,v6.0,condition_occurrence,provider_id,provider,provider_id,fpk_condition_provider
omop,v6.0,condition_occurrence,visit_occurrence_id,visit_occurrence,visit_occurrence_id,fpk_condition_visit
omop,v6.0,condition_occurrence,visit_detail_id,visit_detail,visit_detail_id,fpk_condition_detail
omop,v6.0,device_exposure,device_concept_id,concept,concept_id,fpk_device_concept
omop,v6.0,device_exposure,device_source_concept_id,concept,concept_id,fpk_device_concept_s
omop,v6.0,device_exposure,device_type_concept_id,concept,concept_id,fpk_device_type_concept
omop,v6.0,device_exposure,person_id,person,person_id,fpk_device_person
omop,v6.0,device_exposure,provider_id,provider,provider_id,fpk_device_provider
omop,v6.0,device_exposure,visit_occurrence_id,visit_occurrence,visit_occurrence_id,fpk_device_visit
omop,v6.0,device_exposure,visit_detail_id,visit_detail,visit_detail_id,fpk_device_detail
omop,v6.0,domain,domain_concept_id,concept,concept_id,fpk_domain_concept
omop,v6.0,dose_era,drug_concept_id,concept,concept_id,fpk_dose_era_concept
omop,v6.0,dose_era,person_id,person,person_id,fpk_dose_era_person
omop,v6.0,dose_era,unit_concept_id,concept,concept_id,fpk_dose_era_unit_concept
omop,v6.0,drug_era,drug_concept_id,concept,concept_id,fpk_drug_era_concept
omop,v6.0,drug_era,person_id,person,person_id,fpk_drug_era_person
omop,v6.0,drug_exposure,dose_unit_concept_id,concept,concept_id,fpk_drug_dose_unit_concept
omop,v6.0,drug_exposure,drug_concept_id,concept,concept_id,fpk_drug_concept
omop,v6.0,drug_exposure,drug_source_concept_id,concept,concept_id,fpk_drug_concept_s
omop,v6.0,drug_exposure,drug_type_concept_id,concept,concept_id,fpk_drug_type_concept
omop,v6.0,drug_exposure,person_id,person,person_id,fpk_drug_person
omop,v6.0,drug_exposure,provider_id,provider,provider_id,fpk_drug_provider
omop,v6.0,drug_exposure,route_concept_id,concept,concept_id,fpk_drug_route_concept
omop,v6.0,drug_exposure,visit_occurrence_id,visit_occurrence,visit_occurrence_id,fpk_drug_visit
omop,v6.0,drug_exposure,visit_detail_id,visit_detail,visit_detail_id,fpk_drug_visit_detail
omop,v6.0,drug_strength,amount_unit_concept_id,concept,concept_id,fpk_drug_strength_unit_1
omop,v6.0,drug_strength,denominator_unit_concept_id,concept,concept_id,fpk_drug_strength_unit_3
omop,v6.0,drug_strength,drug_concept_id,concept,concept_id,fpk_drug_strength_concept_1
omop,v6.0,drug_strength,ingredient_concept_id,concept,concept_id,fpk_drug_strength_concept_2
omop,v6.0,drug_strength,numerator_unit_concept_id,concept,concept_id,fpk_drug_strength_unit_2
omop,v6.0,fact_relationship,domain_concept_id_1,concept,concept_id,fpk_fact_domain_1
