model,version,table,field,type,length,precision,scale,default
omop,v6.0,location,address_1,string,50,,,
omop,v6.0,location,address_2,string,50,,,
omop,v6.0,location,city,string,50,,,
omop,v6.0,location,county,string,20,,,
omop,v6.0,location,location_id,integer,,,,
omop,v6.0,location,location_source_value,string,50,,,
omop,v6.0,location,state,string,2,,,
omop,v6.0,location,zip,string,9,,,
omop,v6.0,location,country,string,,,,
omop,v6.0,location,latitude,string,,,,
omop,v6.0,location,longitude,string,,,,
