model,version,table,field,type,length,precision,scale,default
omop,v6.0,note_nlp,note_nlp_id,integer,,,,
omop,v6.0,note_nlp,note_id,integer,,,,
omop,v6.0,note_nlp,section_concept_id,integer,,,,
omop,v6.0,note_nlp,snippet,string,,,,
omop,v6.0,note_nlp,offset,string,,,,
omop,v6.0,note_nlp,lexical_variant,string,,,,
omop,v6.0,note_nlp,note_nlp_concept_id,integer,,,,
omop,v6.0,note_nlp,note_nlp_source_concept_id,integer,,,,
omop,v6.0,note_nlp,nlp_system,string,,,,
omop,v6.0,note_nlp,nlp_date,date,,,,
omop,v6.0,note_nlp,nlp_datetime,datetime,,,,
omop,v6.0,note_nlp,term_exists,string,,,,
omop,v6.0,note_nlp,term_temporal,string,,,,
omop,v6.0,note_nlp,term_modifiers,string,,,,
