model,version,table,field,type,length,precision,scale,default
omop,v6.0,observation,observation_concept_id,integer,,,,
omop,v6.0,observation,observation_date,date,,,,
omop,v6.0,observation,observation_id,integer,,,,
omop,v6.0,observation,observation_source_concept_id,integer,,,,
omop,v6.0,observation,observation_source_value,string,50,,,
omop,v6.0,observation,observation_datetime,datetime,1,,,
omop,v6.0,observation,observation_type_concept_id,integer,,,,
omop,v6.0,observation,person_id,integer,,,,
omop,v6.0,observation,provider_id,integer,,,,
omop,v6.0,observation,qualifier_concept_id,integer,,,,
omop,v6.0,observation,qualifier_source_value,string,50,,,
omop,v6.0,observation,unit_concept_id,integer,,,,
omop,v6.0,observation,unit_source_value,string,50,,,
omop,v6.0,observation,value_as_concept_id,integer,,,,
omop,v6.0,observation,value_as_number,number,,,,
omop,v6.0,observation,value_as_string,string,60,,,
omop,v6.0,observation,visit_occurrence_id,integer,,,,
