model,version,table,field,type,length,precision,scale,default
omop,v6.0,payer_plan_period,family_source_value,string,50,,,
omop,v6.0,payer_plan_period,payer_plan_period_end_date,date,,,,
omop,v6.0,payer_plan_period,payer_plan_period_id,integer,,,,
omop,v6.0,payer_plan_period,payer_plan_period_start_date,date,,,,
omop,v6.0,payer_plan_period,payer_concept_id,integer,,,,
omop,v6.0,payer_plan_period,payer_source_value,string,50,,,
omop,v6.0,payer_plan_period,payer_source_concept_id,integer,,,,
omop,v6.0,payer_plan_period,person_id,integer,,,,
omop,v6.0,payer_plan_period,contact_person_id,integer,,,,
omop,v6.0,payer_plan_period,stop_reason_concept_id,integer,,,,
omop,v6.0,payer_plan_period,stop_reason_source_concept_id,integer,,,,
omop,v6.0,payer_plan_period,stop_reason_source_value,string,,,,
omop,v6.0,payer_plan_period,sponsor_concept_id,integer,,,,
omop,v6.0,payer_plan_period,sponsor_source_concept_id,integer,,,,
omop,v6.0,payer_plan_period,sponsor_source_value,string,,,,
omop,v6.0,payer_plan_period,contract_concept_id,integer,,,,
omop,v6.0,payer_plan_period,contract_source_concept_id,integer,,,,
omop,v6.0,payer_plan_period,contract_source_value,string,,,,
omop,v6.0,payer_plan_period,plan_concept_id,integer,,,,
omop,v6.0,payer_plan_period,plan_source_concept_id,integer,,,,
omop,v6.0,payer_plan_period,plan_source_value,string,,,,
