model,version,table,field,type,length,precision,scale,default
omop,v6.0,survey_conduct,survey_conduct_id,integer,,,,
omop,v6.0,survey_conduct,person_id,integer,,,,
omop,v6.0,survey_conduct,survey_concept_id,integer,,,,
omop,v6.0,survey_conduct,survey_start_datetime,datetime,,,,
omop,v6.0,survey_conduct,survey_start_date,date,,,,
omop,v6.0,survey_conduct,survey_end_datetime,datetime,,,,
omop,v6.0,survey_conduct,survey_end_date,date,,,,
omop,v6.0,survey_conduct,provider_id,integer,,,,
omop,v6.0,survey_conduct,assisted_concept_id,integer,,,,
omop,v6.0,survey_conduct,respondent_type_concept_id,integer,,,,
omop,v6.0,survey_conduct,timing_concept_id,integer,,,,
omop,v6.0,survey_conduct,collection_method_concept_id,integer,,,,
omop,v6.0,survey_conduct,assisted_source_value,string,,,,
omop,v6.0,survey_conduct,respondent_type_source_value,string,,,,
omop,v6.0,survey_conduct,timing_source_value,string,,,,
omop,v6.0,survey_conduct,collection_method_source_value,string,,,,
omop,v6.0,survey_conduct,survey_source_value,string,,,,
omop,v6.0,survey_conduct,survey_source_concept_id,integer,,,,
omop,v6.0,survey_conduct,survey_source_identifier,string,,,,
omop,v6.0,survey_conduct,validated_survey_concept_id,integer,,,,
omop,v6.0,survey_conduct,validated_survey_source_value,string,,,,
omop,v6.0,survey_conduct,survey_version_number,string,,,,
omop,v6.0,survey_conduct,visit_occurrence_id,integer,,,,
omop,v6.0,survey_conduct,response_visit_occurrence_id,integer,,,,
